text,ade,term_PT
"anyway, i was just feeling itchy and my neck was red so they gave me benedryl with my #tysabri. might be a coincidence but just in case",neck was red,erythema
so so so shaky. me and effexor xr have a love/hate relationship.,shaky,tremor
@mc_elhill @mhchat @womblegeorge #mhchat i had sleep paralysis every night for four months when i took quetiapine in addition to lamotrigine,sleep paralysis,sleep paralysis
"okay, this metoprolol is not a game. aside from the occasional chest pain when i breathe, i'm fine. ?",chest pain,chest pain
day 11 of #rwrunstreak completed. 1.32 miles of walking. can't run even if i could because of cipro. also day 4 of mostly raw was good.,can't run,disability
"@fibrofighter08 venlafaxine gave me horrendous nightmares, &amp; coming of it was horrific.!",nightmares,nightmare
"@fibrofighter08 venlafaxine gave me horrendous nightmares, &amp; coming of it was horrific.!",coming of it was horrific,withdrawal syndrome
"@warwraith i'm not even sure what to request. :/ sertraline makes me sick now, venlafaxine made me sick, reboxetine and citalopram useless",sick,malaise
@tysonstown when i was on fluoxetine i was dead from the waist down. even frankenstein couldn't have helped...,dead from the waist down,loss of libido
"@daftlimmy i've been taking venlafaxine since 2007, it's like hotel california - you can check in, but you can never leave.","you can check in, but you can never leave",drug dependence
i'd gladly trade the #mtx  headache for #humira but after 5 months i still don't have the prescription. i function through vitamins &amp; motrin,headache,headache
"i reckon i have drug-induced oedema causing musculo-skeletal pain. likely drug combination: rivaroxaban, losartan, and simvastatin.",musculo-skeletal pain,musculoskeletal pain
"i reckon i have drug-induced oedema causing musculo-skeletal pain. likely drug combination: rivaroxaban, losartan, and simvastatin.",oedema,oedema
@tete_floue been thailand so many time it's lovely but always seem to have bad dreams every since i been on quetiapine x,bad dreams,nightmare
what to do? not looking forward to cold turkey withdrawals from pristiq... sense of impending doom. anxiety only makes the situation worse.,withdrawals,withdrawal syndrome
geez this vyvanse makes me talk a mile a minute haha,talk a mile a minute,logorrhoea
@boatsnkrose they are on to you. poppin' metoprolol and she sweatin'.,sweatin,hyperhidrosis
"thank god my steady stream of vyvanse is wearing off, i can sleep now.",sleep,insomnia
this levofloxacin got me feeling sick to my stomach!! ugh!!,sick to my stomach,nausea
"@spectagoggles jeez, and to think i'm suffering without my pristiq for a few days (we've reached the ""random crying"" phase). two weeks yikes",random crying,crying
@rickywarwick so true ricky! i went into anaphylactic shock &amp; almost died from taking cipro! dangerous drug - be careful!! take care.,anaphylactic shock,anaphylactic shock
@rickywarwick so true ricky! i went into anaphylactic shock &amp; almost died from taking cipro! dangerous drug - be careful!! take care.,almost died,near death experience
rt @ocd_guy: restless leg syndrome is bad tonight.  damn you fluoxetine.,restless leg syndrome,restless legs syndrome
holy shit i quit. no for real this time tho. fuck that noise. aint got time for stuffy sinuses and nicotine addiction.,stuffy sinuses,nasal congestion
holy shit i quit. no for real this time tho. fuck that noise. aint got time for stuffy sinuses and nicotine addiction.,addiction,dependence
@crescentcolours that'll be the quetiapine making you drowsy. it's a common side effect xx,drowsy,somnolence
@dsymons @trainingwithra @lisabinkc my husband gives me my humira injections. we use the pens. it hurts too bad to give them to myself.,hurts,pain
so my body was goin threw withdrawl? lol didnt kno paxil was that strong lol,withdrawl,withdrawal syndrome
"@lynnbett off venlafaxine which was pure hell for me, i can't switch these meds anymore, tired of feeling like shit all day.",feeling like shit,malaise
my seroquel this morning got me lethargic,lethargic,lethargy
"@mariamelee oof, sympathies. i had a raging cipro headache last week.",headache,headache
"@ecrjones coming off lamotrigine has been as bad as going up on it. poorly tummy, tiredness, feeling disconnected",tummy,abdominal pain
"@ecrjones coming off lamotrigine has been as bad as going up on it. poorly tummy, tiredness, feeling disconnected",disconnected,dissociation
"@ecrjones coming off lamotrigine has been as bad as going up on it. poorly tummy, tiredness, feeling disconnected",tiredness,fatigue
vyvanse keep me straight but i can't eat shit when i'm on em,can't eat,decreased appetite
@rogerbezanis: any ideas on treating depression naturally paxil is making me gain unwanted pounds and water weight...thanks,gain unwanted pounds,weight increased
@rogerbezanis: any ideas on treating depression naturally paxil is making me gain unwanted pounds and water weight...thanks,water weight,fluid retention
god there is nothing worse than nicotine withdrawal,withdrawal,withdrawal syndrome
i did it. it hurt quite a bit more this time. but i did it. #humira #rheum #spoonie,hurt,pain
no pain is worse than humira. not even arthritis. lmfao.,pain,pain
"me : feeling fine, watching tv ... swiffer commercial #lamotrigine : lol lets make the bitch cry at this... a fucking swiffer commercial.",cry ,crying
i'm def suing cymbalta. i can't wait until its out of my system. get out!!!!!!! nowwww!!!!! you turn peaceful people into the hulk!,turn peaceful people into the hulk,aggression
"fda needs a warning label for vyvanse: ""use of of this drug may result in major ocd/many unneeded hours at work"" http://t.co/o7pqc782di",ocd,obsessive-compulsive disorder
@anwen @ellwynnnnn venlafaxine withdrawal is worse than most by miles x,withdrawal,withdrawal syndrome
do i come off my medication or do i just continue to be a prozac zombie,zombie,feeling abnormal
meds paranoia cos my leg is itching #lamictal #bipolar,leg is itching,pruritus
meds paranoia cos my leg is itching #lamictal #bipolar,paranoia,paranoia
@jennyelliott88 ffs!! i'm getting shooting pains down arms &amp; legs now &amp; in eve whole body ache #humira is horrible ??,shooting pains down arms &amp; legs,pain
@jennyelliott88 ffs!! i'm getting shooting pains down arms &amp; legs now &amp; in eve whole body ache #humira is horrible ??,body ache,pain
@jennyelliott88 ffs!! i'm getting shooting pains down arms &amp; legs now &amp; in eve whole body ache #humira is horrible ??,shooting pains down arms,pain
"@elladeruiter oh i hate that! i used to be on citalopram, it stopped working eventually. sometimes i have to up my effexor dose temporarily.",stopped working,tachyphylaxis
seroquel makes me wanna eat so much,eat so much,increased appetite
this vyvanse got me sweating right now and i dont even know why,sweating,hyperhidrosis
@strangledduck i am on duloxetine and i think my body would be asleep 24/7 if i let it.,asleep 24/7,hypersomnia
pop a ciprofloxacin i'm sweating woo!,sweating,hyperhidrosis
"i always plan on eating breakfast, and then i wake up &amp; take my vyvanse... #vyvanseproblems",plan on eating,decreased appetite
"ssri discontinuation syndrome is a bitch. effexor, i hate you. wellbutrin, thanks for being nice to me. now do your job kthx. #depression",discontinuation syndrome,withdrawal syndrome
"@herodfel @amelia_draws @scribble_dragon it's very tough. i understand, &amp; you have my full sympathy. how did you find cymbalta withdrawals?",withdrawals,withdrawal syndrome
@njmanura zyprexa had me sleep walking!!!,sleep walking,somnambulism
coming off of cymbalta has been the most exhausting experience. and it isn't even over :(,exhausting,fatigue
"i can't even fucking restrict anymore. i just eat, and eat. maybe it's bc of the zyprexa. the other med should help with that, but idk.","just eat, and eat",increased appetite
struggling with effexor withdrawal. worse than any symptoms i was taking the drug for.stay away from this!!! http://t.co/m5r2qtt9np,withdrawal,withdrawal syndrome
"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain",binge,binge eating
"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain",joint pain,arthralgia
"olanzapine together. olanzapine is causing me to gain weight because i binge eat on it, normally in the evening. also sick of the joint pain",gain weight,weight increased
"adderall puts me in a good mood, vyvanse makes me an asshole.",makes me an asshole,personality change
"medication side-affects have hit me hard today: i keep on randomly jolting or rocking, it is so bad i am finding it hard to type! #seroquel",rocking,akathisia
"medication side-affects have hit me hard today: i keep on randomly jolting or rocking, it is so bad i am finding it hard to type! #seroquel",jolting,dyskinesia
i ate 2 cakes  2 pastries at work today. blaming the quetiapine rather than my liking for cakes. blaming work too for providing free cake.,ate,increased appetite
the #quetiapine is kicking in. bizarre thoughts tonight. tempted to take the whole lot. i won't - don't worry people. just odd thoughts.,bizarre thoughts,illogical thinking
im having paroxetine withdrawals but thats ok cuz i still aint takin no moe fuck behavioral health ill be iight,withdrawals,withdrawal syndrome
"prozac and paxil have the same effects.  well, shit. no wonder i fucking have insomnia after i told him i have it.",insomnia,insomnia
"tell you okes what: when your dr. says only take seroquel at night, only take it at night. zombiness galore.",zombiness,feeling abnormal
@reneeliedig hi idk who you are but i just wanted to let you know i gained over 20 lbs on paxil. be watchful.,gained over 20 lbs,weight increased
all this nicotine is going to my head,going to my head,vertigo
@gloombat i think it was an anxiety meds dream. damn quetiapine.,dream,abnormal dreams
@hendryhannah i tried fluoxetine. it knocked me out.,knocked me out,somnolence
had a great few hours on my bike but exercise drives my #olanzapine munchies. getting fed up with not being able to fit into summer wardrobe,munchies,hunger
had a great few hours on my bike but exercise drives my #olanzapine munchies. getting fed up with not being able to fit into summer wardrobe,not being able to fit into summer wardrobe,weight increased
@tootingrebecca it helped me enormously with seroquel withdrawal but it makes benzo withdrawal much worse.,withdrawal,withdrawal syndrome
this night of no sleep is brought to you by vyvanse. ?,no sleep,insomnia
my house smells of bacon &amp; seroquel is making me so hungry i want to tear my own face off &amp; eat it or cry or maybe both at once.,hungry,hunger
my house smells of bacon &amp; seroquel is making me so hungry i want to tear my own face off &amp; eat it or cry or maybe both at once.,tear my own face off &amp; eat it,appetite disorder
my house smells of bacon &amp; seroquel is making me so hungry i want to tear my own face off &amp; eat it or cry or maybe both at once.,cry,crying
results of accidentally taking 100 mg of vyvanse last night: i took it at 11:00am and was wide awake until 3:30 this morning..,wide awake,insomnia
"@shellyfanelly i was on #azathioprine for about 8 years, it worked well, now on #humira instead though which is knocking me about",knocking me about,malaise
"@nullfuture me too. major fatness since i started on the fabulous, non-soporific, weight-gaining quetiapine. it has to go or i will die.",weight-gaining,weight increased
"@nullfuture me too. major fatness since i started on the fabulous, non-soporific, weight-gaining quetiapine. it has to go or i will die.",fatness,weight increased
your humira shot burns with the power of a thousand suns #ibdfmlmoments #crohns #ibd #uc,burns,injection site pain
"@stevecoy @joelanair all the things i have just make me sleepy as hell: cymbalta, klonopin, ambien. wait what if i take em all togethhssaagg",sleepy,somnolence
i rilly want to get off cymbalta but i don't want to suffer through terrible withdrawals,withdrawals,withdrawal syndrome
allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/bkqnqwy5nk,allergic reaction ,hypersensitivity
19.32 day 20 rivaroxaban diary. still residual aches and pains; only had 4 paracetamol today.,aches,pain
19.32 day 20 rivaroxaban diary. still residual aches and pains; only had 4 paracetamol today.,pains,pain
my body is so not ready for this seroquel. never had an antidepressant knock me the fuck out at a quarter dose before o _o,knock me the fuck out ,loss of consciousness
hey guys don't forget to refill your paxil for like six days because the withdrawal is like heroin. literally.,withdrawal,withdrawal syndrome
rt @ginarclark: personal frustration med's that work (humira) then wear-off even when taking mtx for anti-bodies. #rheum,wear-off,tachyphylaxis
"@nirebryce thanks. there is a nonzero chance that the discomfort i am feeling was caused by going back on cymbalta, possibly too quickly.",discomfort,discomfort
@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,equivalent to torture,malaise
@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,oww,pain
@coolpharmgreg i don't care if they are toxic haha putting the cipro drops in is essentially equivalent to torture #oww,toxic,toxicity to various agents
but i have realised that it's the lamotrigine which causes the joint pain.,joint pain,arthralgia
i can't secretly try and come off my olanzapine as my cpn and psychiatrist will notice the weight loss!,weight,weight increased
@obsidianvormund @glass1ncision sorry for jumping in. trying to get up for work after night seroquel is a nightmare!,trying to get up,somnolence
time for my commute. wondering if i'm going to cope with this everyday. it's like wading through treacle getting up so early on olanzapine,like wading through treacle getting up,somnolence
"magically my appetite has gone back to normal since going off seroquel! well, well, well - i was right, the doctor was wrong.",appetite,appetite disorder
shouts out to seroquel for giving me that blessed 17h sleep tho,17h sleep,hypersomnia
i can?t see the point in taking #venlafaxine it?s screwing up my sleep &amp; i?m pretty sure it?s not helping with the depression.,screwing up my sleep,sleep disorder
@nikkimarieeeee lucky bitch i took vyvanse today as it makes me not eat i just wanna be able to wanna eat ugh,not eat,decreased appetite
oh i get it  ambien  seroquel  now i'm floatin,floatin,feeling abnormal
don't need any alcohol really when fluoxetine just makes me feel like i can't even stand,feel like i can't even stand,dysstasia
rivaroxaban diary day 22. am beginning to think all pains from pressure on that part of body are due to fluid retention.,pains,pain
rivaroxaban diary day 22. am beginning to think all pains from pressure on that part of body are due to fluid retention.,fluid retention,fluid retention
@itwasntbay yeah when i take vyvanse any food just looks/sounds/tastes fucking disgusting,food just looks/sounds/tastes fucking disgusting,food aversion
i?m sort of nauseous. don?t know if it?s a side effect of the viibryd or i need to eat more or what. unpleasant.,nauseous,nausea
i shouldn't tweet on vyvanse it's going to be extremely negative lol,negative,negative thoughts
@stillicides well no. but it's just that i dropped my quetiapine last night. i slept horribly! but i feel v unfoggy...,slept horribly,sleep disorder
"rivaroxaban diary day 22. last tablet taken tuesday 18th, 4 days ago. woken up in pain. bad fluid retention (uneven) on both legs.",fluid retention,fluid retention
"rivaroxaban diary day 22. last tablet taken tuesday 18th, 4 days ago. woken up in pain. bad fluid retention (uneven) on both legs.",pain,pain
coming off 150mg venlafaxine over 14 days was a better idea in discussion. my brain feels like its actually vibrating! #willpower,brain feels like its actually vibrating,paraesthesia
"maybe i'm allergic to paxil, because it didn't say anything about making your face break out.",allergic,hypersensitivity
"maybe i'm allergic to paxil, because it didn't say anything about making your face break out.",face break out,acne
so i may be allergic to the metoprolol. rash on my face. needing my inhaler daily since friday.,needing my inhaler,dyspnoea
so i may be allergic to the metoprolol. rash on my face. needing my inhaler daily since friday.,allergic,hypersensitivity
so i may be allergic to the metoprolol. rash on my face. needing my inhaler daily since friday.,rash ,rash
"you know starting with geodon, the meds messed up my attitude. how odd. it's not just about spirituality. i became a bit mean. that got",messed up my attitude,personality change
"you know starting with geodon, the meds messed up my attitude. how odd. it's not just about spirituality. i became a bit mean. that got",mean,personality disorder
found them. starting back up on effexor. vomits shall ensue!,vomits,vomiting
"@back_datashup same lol didn't eat a thing, damn vyvanse",didn't eat a thing,decreased appetite
i had the two humira shots today and the needle didnt hurt at all but the medicine inside burned like lava,burned,burning sensation
i couldn't remember if i took a vyvanse or not early so i took another one &amp;now i'm spazzing out... bc obviously i took one already?? #adhd,spazzing out,emotional disorder
seroquel will make you sleep for 12 hours.,sleep for 12 hours,hypersomnia
saying goodbye to smoking involves more than physical recovery from nicotine addiction #worldnotobaccoday (1),addiction,dependence
"@karensmallcat i hated seroquel, i was sleeping 18 hrs a day on it", sleeping 18 hrs a day ,somnolence
"effexor side effects; headaches, no appetite.",no appetite,decreased appetite
"effexor side effects; headaches, no appetite.",headaches,headache
why is my brain so retarded when my vyvanse wears off?,brain so retarded,mental impairment
"promise, brownies honor i'm not stupid, i have been forgetting everything lately #paxil",forgetting,memory impairment
my emails to big pharm were answered! turns out there is a pill that makes you stop spending all of your income in food and it's #vyvanse,stop spending all of your income in food,decreased appetite
i hate forgetting to take my cymbalta. it makes you feel sooooooo weird.,feel sooooooo weird,feeling abnormal
@skernandez because i realized vyvanse after a certain time of taking it increased my anxiety and made me more irrational.,anxiety,anxiety
@skernandez because i realized vyvanse after a certain time of taking it increased my anxiety and made me more irrational.,irrational,thinking abnormal
"rt @vyvanseswag: vyvanse, commonly known as ocd in a pill.",ocd,obsessive-compulsive disorder
feels like one of those 5-cup #coffee days - but wait: i'm weaning off #seroquel. aha!,feels like one of those 5-cup #coffee days,somnolence
"thank you, prozac, for my most fucked dream to date",dream,abnormal dreams
@jelizap tried lithium &amp; depakote been reading up on lamotrigine it was suggested but had such nightmare with quetiapine was scared to try,nightmare,nightmare
"@kirkby007 if u r on #humira and have respiratory probs - see ur doc.  that;s how it all started of me.  be well.  nice chatting,",respiratory probs,respiratory disorder
didnt take my vyvanse and remembered what food is #firstworldproblems @_ericalynn_,remembered what food is,decreased appetite
"i stopped taking my seroquel because i hate it. i can barely function on it, hopefully my cpn &amp; psychiatrist can advise a 'nicer' med.",barely function,mental impairment
@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,fat,weight increased
@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,gainin weight,weight increased
@luckystubbs reppin zoloft&amp;seroquel since last november. i'm hella gainin weight too awesome i'm fat and can't cum i own,can't cum,anorgasmia
@liftburn it all might be due to restlessness. #seroquel did make my legs go too!!,did make my legs go,restless legs syndrome
@liftburn it all might be due to restlessness. #seroquel did make my legs go too!!,restlessness,restlessness
@wielding my friends are annoying me and i'm having withdrawls from the paxil because american healthcare is a joke :(,withdrawls,withdrawal syndrome
@racanuck i had a weird rash w/ enbrel. but it was all over my abdomen &amp; chest. rash in elbow cld b psoriasis? can u take a pic?,rash,rash
@_rubyrouge_ i'm reducing duloxitine (been on 6 yr) and slowly increasing m but slept 13-14 hrs solid and still feel wasted,slept 13-14 hrs,somnolence
@_rubyrouge_ i'm reducing duloxitine (been on 6 yr) and slowly increasing m but slept 13-14 hrs solid and still feel wasted,feel wasted,feeling drunk
@azlemed first two weeks of olanzapine v drowsy. weight gain was an issue. great for my anxiety though.,drowsy,somnolence
@azlemed first two weeks of olanzapine v drowsy. weight gain was an issue. great for my anxiety though.,weight gain,weight increased
@annaspargoryan benzos don't work for me &amp; i've had a cracker of a panic attack on seroquel. listening to people chat on podcasts helps me.,panic attack,panic attack
"@wickleperson i do have a crisis number, but i'm just going to knock myself out today w/ trazodone and start antipsychotics today too.",antipsychotics,psychotic disorder
upped my effexor dosage 5 days ago. sleep cycle and quality went to shit 4 days ago. i sense a correlation here...,sleep cycle,sleep disorder
upped my effexor dosage 5 days ago. sleep cycle and quality went to shit 4 days ago. i sense a correlation here...,quality,poor quality sleep
@jules_clarke banana? hot milk? and randomly lettuce! all contain sleepy bye chems. all i have is trazodone which means dopey all day tomo,dopey,mental impairment
gamma-aminobutyric acid+glycine =paralyzing rem neurotransmitters=precisely when you shouldn't wake up=grumpy as fuck  #sciencestrikesagain,shouldn't wake up,somnolence
popped a vyvanse i'm tweaking. whoop,tweaking,feeling abnormal
@the_ignorable hungover shakes + vyvanse shakes + coffee = recipe for success,shakes,tremor
"@candidlykelly some day i should try fluoxetine again. it made me all suicidal the first time, but i was 18",suicidal,suicidal ideation
"this cipro is totally ""killing""  my tummy .. hiks..","killing""""  my tummy",abdominal pain
ok i've got a med ? anyone ever tried cymbalta?? my doc put me on it but i slept 10 hrs straight!!,slept 10 hrs,hypersomnia
@furrowedfox cymbalta is especially weird i?ve had withdrawal quickly from missing a pill,withdrawal,withdrawal syndrome
feeling a little dizzy from the quetiapine i just popped!,dizzy,dizziness
@icedweller i loved fluoxetine (prozac) but it made me lose my temper of the slightest thing but that was the only downside.,lose my temper,aggression
#effexor #withdrawl is a monster that i have taken by the horns and am wrestling to the ground...this time i am winning! 7thdayfree,withdrawl,withdrawal syndrome
suffice to say i am not particularly a fan of quetiapine sponsored dreams,dreams,abnormal dreams
"@richiel13 my doctor gave me paxil, which i think is similar but it's made me feel like crap.",feel like crap,malaise
allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/spmda8toqt,allergic reaction,hypersensitivity
"i seem to need to sleep right now. quetiapine takers, is this normal?",sleep right now,somnolence
@breatheinhope blargh hate this. particularly with seroquel at night. i not i don't sleep. if have and have more cant get up :/,cant get up,somnolence
@breatheinhope blargh hate this. particularly with seroquel at night. i not i don't sleep. if have and have more cant get up :/,don't sleep,insomnia
@arzbrocki nawh bactrim. cipro made me sick once.,sick,malaise
@kickdblcj they increased my celexa. took me off seroquel because it was screwing with my memory. i go back in two weeks to see how its goin,screwing with my memory,memory impairment
prozac makes me want to destroy myself. js. #core,destroy myself,self-injurious ideation
it feels like my brain is melting. 360mg of vyvanse in 24 hours... not smart danielle. not smart.,brain is melting,mental impairment
get asked if i have tourettes. nope. just vyvanse #twitchy @vyvanseswag,tourettes,tourette's disorder
get asked if i have tourettes. nope. just vyvanse #twitchy @vyvanseswag,twitchy,muscle twitching
gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o,withdrawal,drug withdrawal syndrome
gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o,sex drive,loss of libido
gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o,libido,loss of libido
rt @vyvanseswag: i don't know whether my vyvanse caused my caffeine addiction or caffeine caused my vyvanse addiction.,addiction,dependence
that zyprexa really makes your vocal chords marvelous only it makes you gain so much weight,gain so much weight,weight increased
effexor xr side effects : - sucidal thoughts - insomnia - feeling high &amp; unresponsible. -dry mouth.,insomnia,insomnia
effexor xr side effects : - sucidal thoughts - insomnia - feeling high &amp; unresponsible. -dry mouth.,unresponsible,apathy
effexor xr side effects : - sucidal thoughts - insomnia - feeling high &amp; unresponsible. -dry mouth.,feeling high,euphoric mood
effexor xr side effects : - sucidal thoughts - insomnia - feeling high &amp; unresponsible. -dry mouth.,sucidal thoughts,suicidal ideation
effexor xr side effects : - sucidal thoughts - insomnia - feeling high &amp; unresponsible. -dry mouth.,dry mouth,dry mouth
"no fail, seroquel does make you hungry.",hungry,hunger
restless arms &amp; legs! blood quetiapine :-/,restless arms,akathisia
restless arms &amp; legs! blood quetiapine :-/,restless arms &amp; legs,restless legs syndrome
"@msbecker that's what u used to take that has wt loss as a side ""benefit"". tell  ur dr fuck abilify, i want me some lamictal.",wt loss,weight decreased
rt @jumpingjesush: it appears that my twitter addiction may have just been a side effect of my nicotine lozenge addiction.,addiction,dependence
@cloudtoad @mrsyiswhy @bigthink each brain is different.  the ssri i'm on has worked really well.  prozac made me a zombie. #brains,zombie,feeling abnormal
"i finally had an appetite, made food, gone. humira why won't you let me eat",won't you let me eat,decreased appetite
"vyvanse, commonly known as ocd in a pill.",ocd,obsessive-compulsive disorder
the cymbalta certainly is addictive &amp; its fda approved...,addictive,drug dependence
"two days without my seroquel? i feel like death, seriously",feel like death,malaise
"the placebo week of birth control increases blood levels of lamictal, which in turn makes me a very cheerful insomniac.",insomniac,insomnia
@mcmorag my dreams became vivider i think with effexor #bpdchat,dreams became vivider,abnormal dreams
takin anbien &amp;seroquel for bad insomnia gives u messed up dreams doc saids its normal,messed up dreams,abnormal dreams
rt @vyvanseswag: @mtv when are you going to do true life: i am addicted to vyvanse?,addicted,drug dependence
@levimichaelsxxx @outnynews you are so horny and i am not! wtf!!! paxil why paxil why!!!!,you are so horny and i am not,loss of libido
the toilet just flushed itself.  my apartment is haunted.  paxil tells me it's common for apartments to be haunted.  send help,common for apartments to be haunted,thinking abnormal
life: fucked. mind: falling into a realm of utter disillusion.  thank the lord for #effexor contributing to it.,falling into a realm of utter disillusion,psychotic disorder
@ybnormal622 i am on only 25mg lamictal but it makes me anxious and insomniac so i skip sometimes and get depressed.,insomniac,insomnia
@ybnormal622 i am on only 25mg lamictal but it makes me anxious and insomniac so i skip sometimes and get depressed.,anxious,anxiety
"@mondaysmomma it's ok, i guess it's just a case of trial and error with antidepressants. coming off venlafaxine has been so nasty :(",nasty,malaise
"just wondering why doctors prescribe dangerous, addictive medications without any warning to patients.  paxil, for instance.",addictive,drug dependence
"i feel soo much better today, cymbalta with drawls are going away :))",with drawls,withdrawal syndrome
"fda needs a warning label on vyvanse: ""consumption of this drug may result in major ocd/many unneeded hrs at work"" http://t.co/ugxj62lpim",ocd,obsessive-compulsive disorder
@princeherb i had paroxetine for a few weeks once... apparently i started behaving oddly so they took me off it and put me on  sertraline,behaving oddly,abnormal behaviour
"i can feel my heart starting to palpitate from vyvanse, red bull, and nicotine. that's probably par for the course for finals week, right?",palpitate,palpitations
&amp; i'm about to be sick af tomorrow because i ran out of paxil #withdrawal,sick,malaise
&amp; i'm about to be sick af tomorrow because i ran out of paxil #withdrawal,withdrawal,withdrawal syndrome
vyvanse makes my brain crazier than it already is.,crazier,psychotic disorder
21.36 day 9 rivaroxaban diary. particularly bad lower back ache had not eased by 14.00 so went to bed. much better when i woke at 19.00.,back ache,back pain
time to let this seroquel take me into some weird dimension and see crazy shit in my dreams. i was getting shot at by gangstas last night,crazy shit in my dreams,abnormal dreams
@blackloislane i was on cymbalta for over a year. in the process of quitting it because it interacts badly with my testosterone blockers.,interacts,drug interaction
20.12 day 15 rivaroxaban diary. haven't yet taken today's tablet. will when i eat. still intense lower back pain from yesterday's tablet.,back pain,back pain
my trazodone be having me dream all types of crazy.,dream all types of crazy,abnormal dreams
it turns out that i can still ride a bike in spite of my ataxia (side effect of lamotrigine) it has been at least 25 years.,ataxia,ataxia
so i ran out of victoza before payday &amp; restarted it yesterday.  bleh: nausea.  it did help me lose @ 10 lbs. but i found 3 when i ran out.,nausea,nausea
nicotine withdrawal is hitting me so fuckin hard right now,withdrawal,withdrawal syndrome
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",neck ache,musculoskeletal discomfort
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",limping ,gait disturbance
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",weak knees,asthenia
