term_PT,term_HLT,term_HLGT,term_SOC
enzyme inhibition,therapeutic and nontherapeutic responses,therapeutic and nontherapeutic effects (excl toxicity),general disorders and administration site conditions
atrial natriuretic peptide normal,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
neutropenia,neutropenias,white blood cell disorders,blood and lymphatic system disorders
cytomegalovirus viraemia,cytomegaloviral infections,viral infectious disorders,infections and infestations
inflammatory marker test,chemistry analyses nec,protein and chemistry analyses nec,investigations
choroidal dystrophy,"choroid and vitreous structural change, deposit and degeneration","ocular structural change, deposit and degeneration nec",eye disorders
strangulated hernia,hernias nec,general system disorders nec,general disorders and administration site conditions
peritoneal sarcoma,gastrointestinal neoplasms malignant nec,gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
cd4 lymphocytes decreased,white blood cell analyses,haematology investigations (incl blood groups),investigations
inflammatory carcinoma of the breast,breast and nipple neoplasms malignant,breast neoplasms malignant and unspecified (incl nipple),"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
anaphylactoid shock,anaphylactic and anaphylactoid responses,allergic conditions,immune system disorders
pickwickian syndrome,breathing abnormalities,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
haemangioma congenital,vascular anomalies congenital nec,cardiac and vascular disorders congenital,"congenital, familial and genetic disorders"
water intoxication,total fluid volume increased,electrolyte and fluid balance conditions,metabolism and nutrition disorders
intrusive thoughts,thinking disturbances,disturbances in thinking and perception,psychiatric disorders
cardiac murmur functional,cardiac auscultatory investigations,cardiac and vascular investigations (excl enzyme tests),investigations
soft tissue infection,muscle and soft tissue infections,infections - pathogen unspecified,infections and infestations
spinal cord injury cauda equina,spinal cord injuries nec,injuries nec,"injury, poisoning and procedural complications"
disseminated aspergillosis,aspergillus infections,fungal infectious disorders,infections and infestations
myopathy toxic,myopathies,muscle disorders,musculoskeletal and connective tissue disorders
alpha 1 foetoprotein amniotic fluid,foetal and neonatal diagnostic procedures,foetal and neonatal investigations,investigations
oesophagoscopy,gastrointestinal and abdominal imaging procedures,gastrointestinal investigations,investigations
cystitis gonococcal,neisseria infections,bacterial infectious disorders,infections and infestations
positron emission tomogram normal,imaging procedures nec,"investigations, imaging and histopathology procedures nec",investigations
bone marrow oedema syndrome,haematological disorders,haematological disorders nec,blood and lymphatic system disorders
inhibiting antibodies negative,immunology analyses nec,immunology and allergy investigations,investigations
coronary ostial stenosis,coronary artery disorders nec,coronary artery disorders,cardiac disorders
csf lactate dehydrogenase decreased,cerebrospinal fluid tests (excl microbiology),"neurological, special senses and psychiatric investigations",investigations
edentulous,disability issues,lifestyle issues,social circumstances
pancreatic carcinoma metastatic,pancreatic neoplasms malignant (excl islet cell and carcinoid),gastrointestinal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
cd4/cd8 ratio decreased,white blood cell analyses,haematology investigations (incl blood groups),investigations
autosomal recessive megaloblastic anaemia,anaemias congenital (excl haemoglobinopathies),blood and lymphatic system disorders congenital,"congenital, familial and genetic disorders"
injection site mass,injection site reactions,administration site reactions,general disorders and administration site conditions
binge eating,eating disorders nec,eating disorders and disturbances,psychiatric disorders
penile size reduced,penile disorders nec (excl erection and ejaculation),penile and scrotal disorders (excl infections and inflammations),reproductive system and breast disorders
plasmablast count,white blood cell analyses,haematology investigations (incl blood groups),investigations
hydroxycorticosteroids urine increased,adrenal cortex tests,endocrine investigations (incl sex hormones),investigations
human placental lactogen increased,reproductive hormone analyses,endocrine investigations (incl sex hormones),investigations
early satiety,feelings and sensations nec,general system disorders nec,general disorders and administration site conditions
silicosis,chest and respiratory tract injuries nec,injuries nec,"injury, poisoning and procedural complications"
hyperchromasia,red blood cell abnormal findings nec,red blood cell disorders,blood and lymphatic system disorders
intraductal papillary mucinous neoplasm,gastrointestinal neoplasms benign nec,gastrointestinal neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
haemoglobin c,red blood cell analyses,haematology investigations (incl blood groups),investigations
hypomagnesaemia,magnesium metabolism disorders,"bone, calcium, magnesium and phosphorus metabolism disorders",metabolism and nutrition disorders
acute zonal occult outer retinopathy,retinopathies nec,"retina, choroid and vitreous haemorrhages and vascular disorders",eye disorders
sick cell syndrome,cell metabolism disorders nec,metabolism disorders nec,metabolism and nutrition disorders
goniotomy,iris and ciliary body therapeutic procedures,eye therapeutic procedures,surgical and medical procedures
congenital thrombocyte disorder,coagulation disorders congenital,blood and lymphatic system disorders congenital,"congenital, familial and genetic disorders"
product appearance confusion,product confusion errors and issues,medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
lasegue's test,neurologic diagnostic procedures,"neurological, special senses and psychiatric investigations",investigations
asphyxia,conditions associated with abnormal gas exchange,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
paradoxical pressor response,vascular hypertensive disorders nec,vascular hypertensive disorders,vascular disorders
seminal vesiculitis gonococcal,neisseria infections,bacterial infectious disorders,infections and infestations
capillary permeability,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
congenital small intestinal atresia,intestinal disorders congenital,gastrointestinal tract disorders congenital,"congenital, familial and genetic disorders"
transient ischaemic attack,transient cerebrovascular events,central nervous system vascular disorders,nervous system disorders
benign congenital hypotonia,non-site specific muscle disorders congenital,musculoskeletal and connective tissue disorders congenital,"congenital, familial and genetic disorders"
myelofibrosis,myeloproliferative disorders (excl leukaemias),haematopoietic neoplasms (excl leukaemias and lymphomas),"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
orthostatic proteinuria,urinary abnormalities,urinary tract signs and symptoms,renal and urinary disorders
anti-insulin antibody decreased,autoimmunity analyses,immunology and allergy investigations,investigations
carotid pulse increased,heart rate and pulse investigations,cardiac and vascular investigations (excl enzyme tests),investigations
nutritional condition normal,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
product dose omission issue,product administration errors and issues,medication errors and other product use errors and issues,"injury, poisoning and procedural complications"
blood homocysteine decreased,metabolism tests nec,"metabolic, nutritional and blood gas investigations",investigations
fibrinolysis,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
adjustment disorder,adjustment disorders,adjustment disorders (incl subtypes),psychiatric disorders
genital prolapse,pelvic prolapse conditions,"uterine, pelvic and broad ligament disorders",reproductive system and breast disorders
scan bone marrow abnormal,bone marrow and immune tissue imaging procedures,haematology investigations (incl blood groups),investigations
excessive dietary supplement intake,dietary and nutritional therapies,therapeutic procedures and supportive care nec,surgical and medical procedures
ulnar neuritis,mononeuropathies,peripheral neuropathies,nervous system disorders
vascular ligation,vascular therapeutic procedures nec,vascular therapeutic procedures,surgical and medical procedures
intravascular lipoma,soft tissue neoplasms benign nec,soft tissue neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
daydreaming,cognitive and attention disorders and disturbances nec,cognitive and attention disorders and disturbances,psychiatric disorders
biopsy tonsil,respiratory tract and thoracic histopathology procedures,respiratory and pulmonary investigations (excl blood gases),investigations
infective pericardial effusion,cardiac infections,infections - pathogen unspecified,infections and infestations
fulminant type 1 diabetes mellitus,diabetes mellitus (incl subtypes),glucose metabolism disorders (incl diabetes mellitus),metabolism and nutrition disorders
maximal voluntary ventilation normal,respiratory and pulmonary function diagnostic procedures,respiratory and pulmonary investigations (excl blood gases),investigations
ventricular internal diameter,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
barium meal abnormal,gastrointestinal and abdominal imaging procedures,gastrointestinal investigations,investigations
reversible cerebral vasoconstriction syndrome,central nervous system vascular disorders nec,central nervous system vascular disorders,nervous system disorders
anal spasm,anal and rectal signs and symptoms,anal and rectal conditions nec,gastrointestinal disorders
prostate cancer stage i,prostatic neoplasms malignant,reproductive neoplasms male malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
urine calcium,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
bone cancer metastatic,bone neoplasms malignant (excl sarcomas),skeletal neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
bone marrow donation,haematological therapeutic procedures nec,haematological and lymphoid tissue therapeutic procedures,surgical and medical procedures
product barcode issue,product label issues,"product quality, supply, distribution, manufacturing and quality system issues",product issues
natural killer cell activity normal,immunology analyses nec,immunology and allergy investigations,investigations
internal carotid artery deformity,central nervous system vascular disorders nec,central nervous system vascular disorders,nervous system disorders
adiponectin increased,endocrine analyses and imaging nec,endocrine investigations (incl sex hormones),investigations
ovarian germ cell embryonal carcinoma stage i,ovarian germ cell neoplasms malignant,reproductive neoplasms female malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
residual urine volume decreased,urinary tract function analyses nec,renal and urinary tract investigations and urinalyses,investigations
chronic eosinophilic rhinosinusitis,paranasal sinus disorders (excl infections and neoplasms),upper respiratory tract disorders (excl infections),"respiratory, thoracic and mediastinal disorders"
prosthesis implantation,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
intraosseous lipoma,bone neoplasms benign (excl cysts),skeletal neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
immune-mediated adverse reaction,immune and associated conditions nec,immune disorders nec,immune system disorders
chronic respiratory disease,respiratory tract disorders nec,respiratory disorders nec,"respiratory, thoracic and mediastinal disorders"
progestin therapy,hormonal therapeutic procedures nec,endocrine gland therapeutic procedures,surgical and medical procedures
preventive surgery,prophylactic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
perisplenitis,spleen disorders,"spleen, lymphatic and reticuloendothelial system disorders",blood and lymphatic system disorders
tooth socket haemostasis,dental and gingival therapeutic procedures,head and neck therapeutic procedures,surgical and medical procedures
cobb syndrome,vascular anomalies congenital nec,cardiac and vascular disorders congenital,"congenital, familial and genetic disorders"
anaesthetic premedication,anaesthesia and allied procedures,therapeutic procedures and supportive care nec,surgical and medical procedures
anti-thyroid antibody,thyroid analyses,endocrine investigations (incl sex hormones),investigations
blood folate,vitamin analyses,"metabolic, nutritional and blood gas investigations",investigations
gastrointestinal necrosis,gastrointestinal necrosis and gangrene (excl gangrenous hernia),gastrointestinal vascular conditions,gastrointestinal disorders
hormone suppression therapy,hormonal therapeutic procedures nec,endocrine gland therapeutic procedures,surgical and medical procedures
ovarian hyperstimulation syndrome,ovarian and fallopian tube disorders nec,ovarian and fallopian tube disorders,reproductive system and breast disorders
oropharyngeal discomfort,upper respiratory tract signs and symptoms,respiratory tract signs and symptoms,"respiratory, thoracic and mediastinal disorders"
apolipoprotein c abnormal,lipoprotein and lipid tests nec,lipid analyses,investigations
gated single photon emission computerised tomogram,cardiac imaging procedures,cardiac and vascular investigations (excl enzyme tests),investigations
perforation,general signs and symptoms nec,general system disorders nec,general disorders and administration site conditions
feeding disorder,general nutritional disorders nec,appetite and general nutritional disorders,metabolism and nutrition disorders
hepatitis alcoholic,hepatocellular damage and hepatitis nec,hepatic and hepatobiliary disorders,hepatobiliary disorders
facial nerve exploration,cranial nerve therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
orthopaedic examination normal,physical examination procedures and organ system status,physical examination and organ system status topics,investigations
cleft lip and palate,palate disorders congenital,gastrointestinal tract disorders congenital,"congenital, familial and genetic disorders"
biopsy vulva abnormal,reproductive organ and breast histopathology procedures,reproductive organ and breast investigations (excl hormone analyses),investigations
dactylitis,musculoskeletal and connective tissue infections and inflammations nec,musculoskeletal and connective tissue disorders nec,musculoskeletal and connective tissue disorders
female genital organs x-ray normal,reproductive organ and breast imaging procedures,reproductive organ and breast investigations (excl hormone analyses),investigations
breast injury,reproductive system and breast injuries,injuries nec,"injury, poisoning and procedural complications"
percutaneous coronary intervention,arterial therapeutic procedures (excl aortic),vascular therapeutic procedures,surgical and medical procedures
hyperviscosity syndrome,haematological disorders,haematological disorders nec,blood and lymphatic system disorders
carbohydrate antigen 125 normal,cell marker analyses,cytogenetic investigations,investigations
vibratory sense increased,sensory abnormalities nec,neurological disorders nec,nervous system disorders
methylenetetrahydrofolate reductase polymorphism,genetic polymorphisms,"chromosomal abnormalities, gene alterations and gene variants","congenital, familial and genetic disorders"
providencia urinary tract infection,bacterial infections nec,bacterial infectious disorders,infections and infestations
alkalosis hypokalaemic,metabolic alkaloses,acid-base disorders,metabolism and nutrition disorders
cholesterin granuloma of middle ear,aural neoplasms benign,miscellaneous and site unspecified neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
nodule,mass conditions nec,tissue disorders nec,general disorders and administration site conditions
acute flaccid myelitis,myelitis (incl infective),central nervous system infections and inflammations,nervous system disorders
prostatic fluid leukocytes increased,fertility analyses,reproductive organ and breast investigations (excl hormone analyses),investigations
blood gastrin decreased,"gastrointestinal, pancreatic and apud hormone analyses",endocrine investigations (incl sex hormones),investigations
anti-actin antibody,autoimmunity analyses,immunology and allergy investigations,investigations
ph semen,fertility analyses,reproductive organ and breast investigations (excl hormone analyses),investigations
external ear neoplasm malignant,aural neoplasms malignant and unspecified,miscellaneous and site unspecified neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
risk of future pregnancy miscarriage,high risk pregnancies,"pregnancy, labour, delivery and postpartum conditions","pregnancy, puerperium and perinatal conditions"
corneal implant,corneal and scleral therapeutic procedures,eye therapeutic procedures,surgical and medical procedures
haemangioma of skin,skin neoplasms benign,cutaneous neoplasms benign,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
parasystole,rate and rhythm disorders nec,cardiac arrhythmias,cardiac disorders
portal fibrosis,hepatic fibrosis and cirrhosis,hepatic and hepatobiliary disorders,hepatobiliary disorders
vegetarian,dietary and nutritional issues,lifestyle issues,social circumstances
vaccination site movement impairment,vaccination site reactions,administration site reactions,general disorders and administration site conditions
diverticulitis intestinal perforated,abdominal and gastrointestinal infections,infections - pathogen unspecified,infections and infestations
stridor,"laryngeal spasm, oedema and obstruction",upper respiratory tract disorders (excl infections),"respiratory, thoracic and mediastinal disorders"
nocturia,urinary tract signs and symptoms nec,urinary tract signs and symptoms,renal and urinary disorders
autonomic dysreflexia,spinal cord injuries nec,injuries nec,"injury, poisoning and procedural complications"
granulocytes abnormal,white blood cell analyses,haematology investigations (incl blood groups),investigations
peak nasal inspiratory flow abnormal,respiratory and pulmonary function diagnostic procedures,respiratory and pulmonary investigations (excl blood gases),investigations
dry weight evaluation,investigations nec,"investigations, imaging and histopathology procedures nec",investigations
brachiocephalic vein stenosis,site specific necrosis and vascular insufficiency nec,"arteriosclerosis, stenosis, vascular insufficiency and necrosis",vascular disorders
infusion site vasculitis,infusion site reactions,administration site reactions,general disorders and administration site conditions
human herpes virus 6 serology negative,virus identification and serology,microbiology and serology investigations,investigations
cyp2b6 polymorphism,genetic polymorphisms,"chromosomal abnormalities, gene alterations and gene variants","congenital, familial and genetic disorders"
wallerian degeneration,nervous system disorders nec,neurological disorders nec,nervous system disorders
artificial heart device user,disability issues,lifestyle issues,social circumstances
fear of weight gain,fear symptoms and phobic disorders (incl social phobia),anxiety disorders and symptoms,psychiatric disorders
congenital epiblepharon,eyelid disorders congenital,eye disorders congenital,"congenital, familial and genetic disorders"
red blood cell sedimentation rate increased,haematological analyses nec,haematology investigations (incl blood groups),investigations
peritoneal fluid protein increased,peritoneal fluid and membrane function analyses,gastrointestinal investigations,investigations
weaning failure,respiratory tract and thoracic cavity procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
fluorescence angiogram abnormal,vascular imaging procedures nec,cardiac and vascular investigations (excl enzyme tests),investigations
serum procollagen type i n-terminal propeptide decreased,protein analyses nec,protein and chemistry analyses nec,investigations
rheumatoid vasculitis,vasculitides nec,vascular infections and inflammations,vascular disorders
splint application,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
lysozyme,lysosomal enzyme analyses,enzyme investigations nec,investigations
thrombocytopenic purpura,thrombocytopenias,platelet disorders,blood and lymphatic system disorders
urine glucose/creatinine ratio increased,urinalysis nec,renal and urinary tract investigations and urinalyses,investigations
ileocolostomy,gastrointestinal therapeutic procedures nec,gastrointestinal therapeutic procedures,surgical and medical procedures
serum ferritin decreased,mineral and electrolyte analyses,"water, electrolyte and mineral investigations",investigations
therapeutic skin care topical,skin and subcutaneous tissue therapeutic procedures nec,skin and subcutaneous tissue therapeutic procedures,surgical and medical procedures
vocal cord paresis,vagus nerve disorders,cranial nerve disorders (excl neoplasms),nervous system disorders
adventitial cystic disease,non-site specific vascular disorders nec,vascular disorders nec,vascular disorders
erythroblastosis,red blood cell abnormal findings nec,red blood cell disorders,blood and lymphatic system disorders
urine retinol binding protein,renal function analyses,renal and urinary tract investigations and urinalyses,investigations
neurologic somatic symptom disorder,somatic symptom disorders,somatic symptom and related disorders,psychiatric disorders
retinoblastoma,ocular neoplasms malignant (excl melanomas),ocular neoplasms,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
megakaryocyte destruction increased,platelet disorders nec,platelet disorders,blood and lymphatic system disorders
phacolytic glaucoma,glaucomas (excl congenital),glaucoma and ocular hypertension,eye disorders
gastric infection,abdominal and gastrointestinal infections,infections - pathogen unspecified,infections and infestations
sperm analysis normal,fertility analyses,reproductive organ and breast investigations (excl hormone analyses),investigations
left atrial volume abnormal,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
mite allergy,allergic conditions nec,allergic conditions,immune system disorders
immune complex level increased,immunology analyses nec,immunology and allergy investigations,investigations
"2',5'-oligoadenylate synthetase test",tissue enzyme analyses nec,enzyme investigations nec,investigations
skin erosion,skin and subcutaneous tissue ulcerations,skin and subcutaneous tissue disorders nec,skin and subcutaneous tissue disorders
dysmorphophobia,fear symptoms and phobic disorders (incl social phobia),anxiety disorders and symptoms,psychiatric disorders
angiogram,vascular imaging procedures nec,cardiac and vascular investigations (excl enzyme tests),investigations
muscle flap operation,muscle therapeutic procedures,soft tissue therapeutic procedures,surgical and medical procedures
device telemetry issue,device information output issues,device issues,product issues
prostate cryoablation,prostatic therapeutic procedures,male genital tract therapeutic procedures,surgical and medical procedures
ganglioneuroblastoma,nervous system neoplasms malignant nec,nervous system neoplasms malignant and unspecified nec,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
attention-seeking behaviour,behaviour and socialisation disturbances,personality disorders and disturbances in behaviour,psychiatric disorders
dermatitis diaper,dermatitis and eczema,epidermal and dermal conditions,skin and subcutaneous tissue disorders
thoracic spinal stenosis,spine and neck deformities,musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),musculoskeletal and connective tissue disorders
acute interstitial pneumonitis,parenchymal lung disorders nec,lower respiratory tract disorders (excl obstruction and infection),"respiratory, thoracic and mediastinal disorders"
congenital fallopian tube anomaly,female reproductive tract disorders congenital,reproductive tract and breast disorders congenital,"congenital, familial and genetic disorders"
cardiac pacemaker evaluation,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
bicytopenia,marrow depression and hypoplastic anaemias,anaemias nonhaemolytic and marrow depression,blood and lymphatic system disorders
dependence,substance related and addictive disorders,psychiatric disorders nec,psychiatric disorders
proctitis monilial,candida infections,fungal infectious disorders,infections and infestations
ossicle disorder,middle ear disorders nec,middle ear disorders (excl congenital),ear and labyrinth disorders
second primary malignancy,neoplasms malignant site unspecified nec,miscellaneous and site unspecified neoplasms malignant and unspecified,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
abdominal infection,abdominal and gastrointestinal infections,infections - pathogen unspecified,infections and infestations
galectin-3 test,cell marker analyses,cytogenetic investigations,investigations
idiopathic angioedema,angioedemas,angioedema and urticaria,skin and subcutaneous tissue disorders
holt-oram syndrome,gene mutations and other alterations nec,"chromosomal abnormalities, gene alterations and gene variants","congenital, familial and genetic disorders"
blood triglycerides decreased,triglyceride analyses,lipid analyses,investigations
oedema,oedema nec,general system disorders nec,general disorders and administration site conditions
dementia,dementia (excl alzheimer's type),mental impairment disorders,nervous system disorders
coagulation test abnormal,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
ovarian bacterial infection,bacterial infections nec,bacterial infectious disorders,infections and infestations
intestinal sepsis,"sepsis, bacteraemia, viraemia and fungaemia nec",infections - pathogen unspecified,infections and infestations
uterine cervical metaplasia,cervix disorders nec,cervix disorders (excl infections and inflammations),reproductive system and breast disorders
dopaminergic drug therapy,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
vitreous haematoma,choroid and vitreous haemorrhages and vascular disorders,"retina, choroid and vitreous haemorrhages and vascular disorders",eye disorders
ectopic pregnancy termination,obstetric therapeutic procedures,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
sudden visual loss,visual impairment and blindness (excl colour blindness),vision disorders,eye disorders
postoperative care,therapeutic procedures nec,therapeutic procedures and supportive care nec,surgical and medical procedures
gastrocardiac syndrome,cardiac signs and symptoms nec,"cardiac disorders, signs and symptoms nec",cardiac disorders
combined immunodeficiency,immune system abnormalities congenital,immune system disorders congenital,"congenital, familial and genetic disorders"
electrocardiogram t wave peaked,ecg investigations,cardiac and vascular investigations (excl enzyme tests),investigations
blepharophimosis congenital,eyelid disorders congenital,eye disorders congenital,"congenital, familial and genetic disorders"
bronchitis,lower respiratory tract and lung infections,infections - pathogen unspecified,infections and infestations
venous intravasation,non-site specific procedural complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
blood catecholamines normal,adrenal medulla tests,endocrine investigations (incl sex hormones),investigations
bladder operation,bladder therapeutic procedures,renal and urinary tract therapeutic procedures,surgical and medical procedures
periventricular haemorrhage neonatal,central nervous system haemorrhages and cerebrovascular accidents,central nervous system vascular disorders,nervous system disorders
central nervous system infection,central nervous system and spinal infections,infections - pathogen unspecified,infections and infestations
vaginal dilation procedure,vaginal therapeutic procedures,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
idiopathic pneumonia syndrome,parenchymal lung disorders nec,lower respiratory tract disorders (excl obstruction and infection),"respiratory, thoracic and mediastinal disorders"
intestinal t-cell lymphoma stage iii,intestinal t-cell lymphomas,lymphomas non-hodgkin's t-cell,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
stress echocardiogram abnormal,cardiac function diagnostic procedures,cardiac and vascular investigations (excl enzyme tests),investigations
penoscrotal fusion,male reproductive tract disorders congenital,reproductive tract and breast disorders congenital,"congenital, familial and genetic disorders"
plasminogen activator inhibitor decreased,coagulation and bleeding analyses,haematology investigations (incl blood groups),investigations
brachial pulse increased,heart rate and pulse investigations,cardiac and vascular investigations (excl enzyme tests),investigations
complications of limb reattachment surgery,transplantation complications,procedural related injuries and complications nec,"injury, poisoning and procedural complications"
cor pulmonale chronic,right ventricular failures,heart failures,cardiac disorders
strong's procedure,small intestine therapeutic procedures,gastrointestinal therapeutic procedures,surgical and medical procedures
head deformity,"musculoskeletal and connective tissue deformities of skull, face and buccal cavity",musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),musculoskeletal and connective tissue disorders
adrenolytic syndrome,autonomic nervous system disorders,neuromuscular disorders,nervous system disorders
single parent family,family and partner issues,family issues,social circumstances
abnormal organ maturation,trophic disorders,tissue disorders nec,general disorders and administration site conditions
mesangioproliferative glomerulonephritis,glomerulonephritis and nephrotic syndrome,nephropathies,renal and urinary disorders
thought blocking,thinking disturbances,disturbances in thinking and perception,psychiatric disorders
osteomyelitis acute,bone and joint infections,infections - pathogen unspecified,infections and infestations
herpes simplex pneumonia,herpes viral infections,viral infectious disorders,infections and infestations
rhinomanometry abnormal,respiratory and pulmonary function diagnostic procedures,respiratory and pulmonary investigations (excl blood gases),investigations
carbohydrate tolerance decreased,carbohydrate tolerance analyses (incl diabetes),"metabolic, nutritional and blood gas investigations",investigations
enteroclysis,gastrointestinal and abdominal imaging procedures,gastrointestinal investigations,investigations
dislocation of sternum,thoracic cage fractures and dislocations,bone and joint injuries,"injury, poisoning and procedural complications"
oesophagogastroduodenoscopy normal,gastrointestinal and abdominal imaging procedures,gastrointestinal investigations,investigations
cardiopulmonary bypass,cardiac therapeutic procedures nec,cardiac therapeutic procedures,surgical and medical procedures
cellulitis laryngeal,upper respiratory tract infections,infections - pathogen unspecified,infections and infestations
implant site bruising,implant and catheter site reactions,administration site reactions,general disorders and administration site conditions
acquired oesophageal web,oesophageal stenosis and obstruction,gastrointestinal stenosis and obstruction,gastrointestinal disorders
peri-implantitis,dental and oral soft tissue infections,infections - pathogen unspecified,infections and infestations
blood isopropanol,toxicology laboratory analyses,toxicology and therapeutic drug monitoring,investigations
chronic myelomonocytic leukaemia,myelodysplastic syndromes,leukaemias,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
intra-amniotic injection,obstetric therapeutic procedures,obstetric and gynaecological therapeutic procedures,surgical and medical procedures
mittendorf dot,lens disorders congenital,eye disorders congenital,"congenital, familial and genetic disorders"
spinal laminectomy,spine and spinal cord therapeutic procedures,"nervous system, skull and spine therapeutic procedures",surgical and medical procedures
parasite cervical specimen test positive,parasite identification and serology,microbiology and serology investigations,investigations
natural killer cell count,white blood cell analyses,haematology investigations (incl blood groups),investigations
bacterial prostatitis,bacterial infections nec,bacterial infectious disorders,infections and infestations
douglas' abscess,abdominal and gastrointestinal infections,infections - pathogen unspecified,infections and infestations
metastases to spleen,metastases to specified sites,metastases,"neoplasms benign, malignant and unspecified (incl cysts and polyps)"
ultrasound skull abnormal,central nervous system imaging procedures,"neurological, special senses and psychiatric investigations",investigations
autoresuscitation,general signs and symptoms nec,general system disorders nec,general disorders and administration site conditions
bronchotomy,bronchial and pulmonary therapeutic procedures,respiratory tract therapeutic procedures,surgical and medical procedures
cardiolipin antibody,autoimmunity analyses,immunology and allergy investigations,investigations
alk gene rearrangement positive,gene analyses,cytogenetic investigations,investigations
maternal death during childbirth,maternal complications of delivery nec,maternal complications of labour and delivery,"pregnancy, puerperium and perinatal conditions"
