,term_PT
566,diabetic ketoacidosis
567,pancreatic polypeptide level decreased
568,stenocephaly
569,renal cyst ruptured
570,pseudogynaecomastia
571,device dispensing error
572,vacterl syndrome
573,vertebrobasilar insufficiency
574,pars plana cyst
575,hypopituitarism
576,amylase increased
577,conjunctival primary acquired melanosis
578,retroperitonitis
579,muscle tone disorder
580,runx1 gene mutation
581,human herpes virus 6 serology positive
582,otoplasty
583,radiation prostatitis
584,malignant mesenchymoma recurrent
585,eczema coxsackium
586,lip and/or oral cavity cancer stage 0
587,adrenal gland cancer metastatic
588,electrolyte substitution therapy
589,scleroderma renal crisis
590,elastic vessel recoil complication
591,hunt and hess scale
592,japanese encephalitis immunisation
593,anti a antibody
594,necrotising colitis
595,administration site rash
596,joint prosthesis user
597,elbow deformity
598,gingival erythema
599,renal and pancreas transplant rejection
600,pupillary light reflex tests abnormal
601,moxibustion
602,follicle centre lymphoma diffuse small cell lymphoma stage i
603,band sensation
604,senile xerosis
605,benign neoplasm of spinal cord
606,"lens abnormality, congenital"
607,arterial stent removal
608,arthritis infective
609,blood corticosterone normal
610,dacryocystitis
611,eructation
612,change of bowel habit
613,positive dose response relationship
614,mucosal biopsy
615,disinhibited social engagement disorder of childhood
616,denture wearer
617,gestational trophoblastic tumour
618,adrenal androgen excess
619,prothrombin time
620,synovial fluid protein present
621,cholecystitis
622,ovarian germ cell endodermal sinus tumour
623,blood acid phosphatase decreased
624,capsule endoscopy
625,sars-cov-2 carrier
626,congenital heart valve disorder
627,vitamin b6 normal
628,abscess of salivary gland
629,meralgia paraesthetica
630,diabetes insipidus
631,nail necrosis
632,blood ethanol normal
633,painful respiration
634,subacute combined cord degeneration
635,basal ganglion degeneration
636,pancreatic duct stenosis
637,lower respiratory tract infection viral
638,optic disc pigmentation
639,acral peeling skin syndrome
640,precipitate labour
641,corneal abrasion
642,urine porphobilinogen normal
643,opiates
644,herpes sepsis
645,serous cystadenocarcinoma ovary
646,synostosis
647,implant site dehiscence
648,natural killer cell activity abnormal
649,mediastinal biopsy
650,gastroenteropancreatic neuroendocrine tumour disease
651,genital exfoliation
652,anti-muellerian hormone level normal
653,increased bronchial secretion
654,injection site joint movement impairment
655,organic dust toxic syndrome
656,soluble fibrin monomer complex increased
657,peripheral coldness
658,enterococcus test
659,serum pristanic acid increased
660,malignant neoplasm of ampulla of vater
661,anti-complement antibody
662,oculofacial paralysis
663,chemical burn of genitalia
664,blood phosphorus decreased
665,anal cancer stage iii
666,perineoplasty
667,malignant nipple neoplasm female
668,abnormal dna methylation
669,haematology test
670,funguria
671,recall phenomenon
672,kleptomania
673,vascular bypass dysfunction
674,eye ph test
675,biopsy ovary normal
676,infectious crystalline keratopathy
677,gastrointestinal ulcer
678,cystinuria
679,le cells
680,reflex test normal
681,craniofacial deformity
682,stool dna test
683,antral follicle count normal
684,epididymitis ureaplasmal
685,drug toxicity prophylaxis
686,accessory cardiac pathway
687,endocardial fibroelastosis
688,colon dysplasia
689,femoral hernia gangrenous
690,bordetella test positive
691,ph body fluid abnormal
692,fracture reduction
693,penetrating eye injury repair
694,lactation inhibition therapy
695,therapeutic ovarian suppression
696,meniscus removal
697,pregnancy in habitual aborter
698,pancoast's tumour
699,viral rhinitis
700,lung squamous cell carcinoma stage iv
701,oesophageal squamous cell carcinoma
702,calculus urinary
703,valsalva maneuver
704,bone marrow oedema
705,norovirus test positive
706,x-ray therapy to pleura
707,morganella test
708,paraesthesia mucosal
709,biopsy breast abnormal
710,medical device repositioning
711,computerised tomogram abdomen normal
712,pulmonary function test normal
713,anaesthetic complication pulmonary
714,cobble stone tongue
715,bladder necrosis
716,hyposideraemia
717,blood cholesterol esterase increased
718,retinal operation
719,arterial ligation
720,paranoia
721,full blood count normal
722,product formulation issue
723,respiratory sinus arrhythmia magnitude abnormal
724,hypotensive anaesthesia procedure
725,parvimonas test negative
726,eyelid function disorder
727,nephritis haemorrhagic
728,paracoccidioides infection
729,lymphadenocyst
730,pco2 decreased
731,tuberculin test false positive
732,diplopia correction
733,moebius ii syndrome
734,parenteral nutrition associated liver disease
735,mucocutaneous candidiasis
736,oesophageal food impaction
737,cytokeratin 19 increased
738,borderline ovarian tumour
739,hepatitis b immunisation
740,oesophagoplasty
741,penetrating aortic ulcer
742,gingival cyst
743,cutaneous sarcoidosis
744,pseudofracture
745,obstructive shock
746,pancreatorenal syndrome
747,dysprosody
748,synovial rupture
749,medical device site cellulitis
750,gastritis erosive
751,herpes simplex sepsis
752,biopsy colon
753,sleep sex
754,granuloma gluteale infantum
755,diffuse idiopathic skeletal hyperostosis
756,metastases to pituitary gland
757,tension
758,gastric cancer recurrent
759,lissencephaly
760,herpes dermatitis
761,waxy flexibility
762,childhood psychosis
763,csf test abnormal
764,electrocardiogram qt shortened
765,protein induced by vitamin k absence or antagonist ii
766,prophylaxis against hiv infection
767,factor vii inhibition
768,lymphoplasmacytoid lymphoma/immunocytoma
769,polyneuropathy
770,t-lymphocyte count abnormal
771,mycobacterium ulcerans infection
772,ankle arthroplasty
773,pertussis
774,laryngospasm
775,verbigeration
776,meniscus injury
777,torch infection
778,implant subsidence
779,diverticulitis meckel's
780,psoriasis
781,glutathione s-transferase abnormal
782,biopsy small intestine
783,brain operation
784,jejunal ulcer perforation
785,anterior chamber angle neovascularisation
786,pancreatic neuroendocrine tumour metastatic
787,cor pulmonale acute
788,platelet rich plasma therapy
789,penis carcinoma stage iii
790,coagulation factor xii level decreased
791,metastases to nervous system
792,hiv tropism test
793,phytosterol level increased
794,radiation fibrosis - lung
795,familial hypertriglyceridaemia
796,testicular failure
797,mycoplasma infection
798,tracheoscopy
799,medical device site granuloma
800,pik3ca related overgrowth spectrum
801,drug diversion
802,mucosal pigmentation
803,juvenile paget's disease
804,oesophagogastrostomy
805,scrotal abscess
806,abdominal discomfort
807,application site wound
808,breech presentation
809,interleukin level increased
810,pulmonary arterial pressure decreased
811,aortic injury
812,mallampati score
813,road traffic accident
814,lipids abnormal
815,albumin globulin ratio increased
816,posterior lens capsulotomy
817,cytokeratin 18
818,psoriasis area severity index
819,benjamin syndrome
820,respiratory disorder prophylaxis
821,normal foetus
822,biopsy heart
823,scan bone marrow
824,myoglobin blood present
825,ileal stenosis
826,endocarditis viral
827,graft infection
828,drug metabolising enzyme test
829,reading rehabilitation
830,haemoperfusion
831,hordeolum
832,alexithymia
833,infusion site ulcer
834,arteriovenous graft site stenosis
835,hodgkin's disease nodular sclerosis stage iv
836,cd8 lymphocyte percentage decreased
837,influenza a virus test positive
838,blood immunoglobulin m increased
839,cryophobia
840,poikiloderma
841,11-deoxycortisol increased
842,bone densitometry
843,acquired mixed hyperlipidaemia
844,chorioretinal scar
845,papillary muscle haemorrhage
846,sars-cov-2 antibody test positive
847,gastrointestinal fistula
848,oesophagobronchial fistula
849,torulopsis infection
850,skin abrasion
851,activated partial thromboplastin time ratio abnormal
852,capnogram abnormal
853,renal vessel disorder
854,uterine tachysystole
855,intermediate density lipoprotein increased
856,spinal cord drainage
857,negativism
858,oral cavity neoplasm surgery
859,gracile syndrome
860,leukoplakia of penis
861,coombs direct test positive
862,calcium ionised abnormal
863,breast cancer stage iv
864,diabetic end stage renal disease
865,intercepted medication error
866,"drug use disorder, postpartum"
867,anorectal operation
868,male genital tract fistula
869,epiglottic erythema
870,congenital lymphatic dysplasia
871,postoperative pathological diuresis
872,transient acantholytic dermatosis
873,peritoneal fluid analysis abnormal
874,crystal arthropathy
875,lipase decreased
876,bacterial tracheitis
877,nasal cyst
878,rotavirus infection
879,administration site inflammation
880,plateletcrit
881,medical device site pustule
882,magnetic resonance imaging abdominal normal
883,scrotal haematocoele
884,pharyngeal exfoliation
885,radiotherapy to soft tissue
886,blood phosphorus increased
887,blood antimony
888,lower respiratory tract infection fungal
889,oesophageal graft
890,subacute kidney injury
891,superficial vein prominence
892,choroiditis
893,atypical haemolytic uraemic syndrome
894,leptomeningeal myelomatosis
895,dermatitis exfoliative
896,testicular swelling
897,urethral haemorrhage
898,pancreatic enzyme abnormality
899,tendon sheath disorder
900,duplicate therapy error
901,computerised tomogram normal
902,infective corneal ulcer
903,auditory recruitment
904,semen viscosity increased
905,biopsy bladder normal
906,adnexa uteri cyst
907,blood immunoglobulin e
908,fasciotomy
909,kaposi's sarcoma aids related
910,skull fracture treatment
911,popliteal pulse
912,injury of conjunctiva
913,glomerulonephritis chronic
914,vaginal reflux
915,tet2 gene mutation
916,choledochal cyst
917,klinefelter's syndrome
918,reversal of sedation
919,blood creatinine normal
920,jc virus infection
921,anal skin tag excision
922,cystitis bacterial
923,chondropathy
924,mesenteric cyst
925,blood androstenedione increased
926,laryngeal haematoma
927,breast procedural complication
928,injection site panniculitis
929,intraocular pressure test normal
930,lymphocyte percentage
931,magnetic resonance imaging spinal
932,anti kell antibody test negative
933,dermatitis artefacta
934,deposit eye
935,empty nest syndrome
936,factor xa activity normal
937,urosepsis
938,bladder hyperaemia
939,urine phosphorus
940,testicular seminoma (pure) stage iii
941,vaccination site cyst
942,squamous cell carcinoma of the vagina
943,red blood cell siderocytes present
944,staphylococcal skin infection
945,ureteric perforation
946,craniocerebral injury
947,indifference
948,sclerodactylia
949,immunoglobulin g4 related disease
950,medical device site hypoaesthesia
951,blood caffeine
952,cerebral cyst haemorrhage
953,persecutory delusion
954,ventilation/perfusion scan normal
955,abscess of external auditory meatus
956,macular degeneration
957,urethral pain
958,auricular haematoma
959,radiation rhinitis
960,vena cava injury
961,nerve root injury sacral
962,intra-abdominal haemorrhage
963,osteonecrosis of external auditory canal
964,tartrate-resistant acid phosphatase decreased
965,adult failure to thrive
966,kidney congestion
967,osler's nodes
968,coronary vein stenosis
969,white blood cell analysis
970,environmental exposure
971,hla marker study positive
972,membranous-like glomerulopathy with masked igg-kappa deposits
973,dysdiadochokinesis
974,blood zinc decreased
975,oesophageal papilloma
976,neoplasm prostate
977,neck lift
978,acanthamoeba infection
979,tongue ulceration
980,erythroplasia of lip
981,hepatitis b core antibody
982,thumb sucking
983,wheezing
984,phytanic acid increased
985,bone graft removal
986,fimbrioplasty
987,acanthosis nigricans
988,catecholamines urine increased
989,pleomorphic leiomyosarcoma
990,spleen tuberculosis
991,exposure via breast milk
992,antidepressant drug clearance decreased
993,greig's syndrome
994,contraindication to medical treatment
995,thyroxine therapy
996,ejection fraction
997,adenosquamous carcinoma of vagina
998,urine electrolytes increased
999,colorectal adenocarcinoma
1000,growth retardation
1001,diabetes mellitus inadequate control
1002,prophylaxis of neural tube defect
1003,thromboangiitis obliterans
1004,acute haemorrhagic leukoencephalitis
1005,cardiac ventriculogram left abnormal
1006,saccadic eye movement
1007,hodgkin's disease stage i
1008,bronchioloalveolar carcinoma
1009,neutralising antibodies negative
1010,acquired hepatocerebral degeneration
1011,positron emission tomography-magnetic resonance imaging
1012,breast malformation
1013,intestinal ulcer
1014,erythroblast morphology abnormal
1015,mucosal induration
1016,cerebellopontine angle tumour
1017,occipital neuralgia
1018,neuronal intranuclear inclusion disease
1019,gastroptosis
1020,lemierre syndrome
1021,congenital nipple anomaly
1022,cardiac index abnormal
1023,csf white blood cell count
1024,gastrointestinal bacterial overgrowth
1025,unintentional medical device removal
1026,virilism foetal
1027,parasitic test positive
1028,anticonvulsant drug level below therapeutic
1029,pupillary block
1030,biliary catheter insertion
1031,lower motor neurone lesion
1032,ultrasound pelvis normal
1033,delivery outside health facility
1034,capsulorrhaphy
1035,candida test negative
1036,withdrawal arrhythmia
1037,congenital genitourinary abnormality
1038,retinal vascular disorder
1039,blood uric acid abnormal
1040,body temperature increased
1041,papillitis
1042,radiotherapy to brain
1043,human chorionic gonadotropin decreased
1044,blood follicle stimulating hormone
1045,x-ray hepatobiliary normal
1046,nocturnal emission
1047,eye haemorrhage
1048,gingival blister
1049,shock haemorrhagic
1050,red breast syndrome
1051,anti-cyclic citrullinated peptide antibody negative
1052,presumed ocular histoplasmosis syndrome
1053,epiglottitis haemophilus
1054,metanephrine urine increased
1055,silent myocardial infarction
1056,blood proinsulin
1057,respiratory tract haemorrhage neonatal
1058,neurological infection
1059,congenital bladder anomaly
1060,myocardial depression
1061,cervix cancer metastatic
1062,non-small cell lung cancer stage i
1063,ex-tobacco user
1064,pneumonia pseudomonal
1065,hepatobiliary cyst
1066,uterine cervix hypoplasia
1067,17 ketosteroids urine increased
1068,radiation cataract
1069,administration site nerve damage
1070,non-hodgkin's lymphoma stage i
1071,keratitis fungal
1072,trichorhinophalangeal syndrome
1073,injection site alopecia
1074,punctal plug insertion
1075,substance dependence
1076,congenital hepatitis b infection
1077,haematotympanum
1078,lead urine increased
1079,blood acid phosphatase
1080,musculoskeletal toxicity
1081,nephrogenic systemic fibrosis
1082,salivary gland cyst
1083,avoidant personality disorder
1084,blood oestrogen increased
1085,liver and pancreas transplant rejection
1086,apolipoprotein e abnormal
1087,abnormal withdrawal bleeding
1088,cuboid syndrome
1089,diffuse cutaneous mastocytosis
1090,post-traumatic osteoporosis
1091,antioxidant therapy
1092,medical device site bruise
1093,schizotypal personality disorder
1094,methylmalonic aciduria
1095,chronic hyperplastic eosinophilic sinusitis
1096,csf lactate dehydrogenase normal
1097,delusion of reference
1098,prenatal screening test abnormal
1099,delayed delivery
1100,cestode infection
1101,oral pruritus
1102,amenorrhoea
1103,pharyngeal injury
1104,cholesterol absorption efficiency decreased
1105,infective iritis
1106,urethritis
1107,neuromuscular blocking therapy
1108,neonatal disorder
1109,oxidative stress
1110,intentional dose omission
1111,peritoneal effluent specific gravity
1112,oesophageal bypass
1113,aspiration bone marrow
1114,oesophageal fistula
1115,primary familial brain calcification
1116,cystic fibrosis carrier
1117,cyclitic membrane
1118,peripheral venous disease
1119,microvillous inclusion disease
1120,blood urea nitrogen/creatinine ratio decreased
1121,vaginal stricture
1122,feeling guilty
1123,administration site odour
1124,oesophageal discomfort
1125,cutaneous larva migrans
1126,necrotising fasciitis staphylococcal
1127,glossitis
1128,small-for-size liver syndrome
1129,plasmablast count increased
1130,smear cervix abnormal
