delusion,need to save the world,impossible to cry
dependence,addiction,triggers my rapid cycling
dependence,addictive,ruined my creativity
dependence,addicted,cant feel my throat
dependence,addiction,hangover
dependence,addiction,mixed episodes
dependence,addicted,nosleep
dependence,addiction,stuffy sinuses
dependence,addiction,withdrawals
dependence,addiction,withdraw
dependence,addiction,nausea
dependence,addiction,ocd
dependence,addicted,sluggish
dependence,addiction,sinuses close up
depressed mood,sad,siiiiiiiiiiiiiiick
depressed mood,sad,neuro problems
depressed mood,dark night of the soul,wideawake
depression,depressed,forgetting
depression,depressed,body ache
depression,depressed,ate
depression,depressed,dreadful nights sleep
depression,depressed,weak knees
depression,depressed,zombified
depression,depressed,migraine
depression,depressed,crazy shit in my dreams
depression,depression.,cooked my brain
diabetes mellitus,diabetes,cant really walk
diabetes mellitus,diabetes risk,coming off effexor is not fun
diarrhoea,raging bm's,zombie
diarrhoea,diarrhea,sleep
diarrhoea,diarrhea,tiered
diarrhoea,diarrhea,sick
disability,can't run,suicidal
disability,can't run,fat
discomfort,discomfort,sobbing
dissociation,disconnected,groggy
dissociation,dissociation,migraines
disturbance in attention,space me out,negative
disturbance in attention,attention-killing,don't want to get up
dizziness,dizzy,screwing with my memory
dizziness,dizzing,sleep for days
dizziness,dizzy,headaches
dizziness,dizzy,pee so often
dizziness,lightheaded,racing heart
dizziness,dizzy,eh whatever
dizziness,dizzing,restless legs
dizziness,dizzy,tendonitis
dizziness,dizzy,coming off effexor was the worst
dizziness,dizzy,feel like crap
dizziness,dizzy,want to sleeeeep
drooling,drooling,pain
drug dependence,addictive,withdrawal
drug dependence,addicted,needing my inhaler
drug dependence,addicted,crazy shit in my dreams
drug dependence,addicted,forgetting
drug dependence,addicted,pain
drug dependence,addictive,sick
drug dependence,addictive,overheating
drug dependence,addicted,can't even get whipped cream out of the can
drug dependence,addictive,fever
drug dependence,addictive,sleepies
drug dependence,addict,raging
drug dependence,addictive,toxicity
drug dependence,addict,messed up dreams
drug hypersensitivity,allergic,manic
drug hypersensitivity,allergic,common for apartments to be haunted
drug interaction,interacts,withdrawals
drug withdrawal syndrome,coming off klonopin and paxil was hell,jolting
drug withdrawal syndrome,coming off klonopin and paxil was hell,bone
drug withdrawal syndrome,withdrawal,respiratory probs
drug withdrawal syndrome,withdrawal,not dangerous but it is damn unpleasant
dry mouth,dry mouth,migraines
dry mouth,dry mouth,sedated 
dry mouth,dry mouth,neck ache
dry mouth,mouth is painfully dry,rash
dry mouth,mouth is painfully dry,shakes
dry mouth,dry mouth,migraines
dry mouth,dry mouth, withdrawls
dry mouth,cotton mouth,tolerance to the sun
dry mouth,dry mouth,eyesight
dry throat,throat,weight gain
dyskinesia,jolting,stressful
dyslexia,dyslexic,resisting it
dyspepsia,hard to digest,nauseated
dyspnoea,stop breathin,can't sleeeep
dyspnoea,stop breathin,knackered when i wake
dysstasia,feel like i can't even stand,weak
emotional disorder,spazzing out,nauaea
emotional poverty,numbness,shaking
emotional poverty,numb to feel,heart started lurching
emotional poverty,felt nothing,drowsy
emotional poverty,dry eyed,sleepy
emotional poverty,numb to feel,knocking me about
emotional poverty,numbness,akathisia
erectile dysfunction,impotency, tired
erectile dysfunction,boner kryptonite,allergic reaction
erectile dysfunction,boner kryptonite,zombie
erectile dysfunction,erectile dysfunction,withdrawal
eructation,burping,kidney stones
erythema,neck was red,cleaned my entire kitchen
euphoric mood,high,neck ache
euphoric mood,high,can't sleep
euphoric mood,high,bruises
euphoric mood,high,almost died
eye irritation, burns,grind my teeth
fatigue,knocked me sidewards,3am
fatigue,tired,sweats
fatigue,tired,stopped working
fatigue,tired,pains
fatigue,exhaustion ,sucked going from 100mg desvenlafaxine / day to zero
fatigue,knocked on my ass,"just eat, and eat"
fatigue,tired,depressed
fatigue,tired,diarrhea
fatigue,physically,vampire
fatigue,tired,addict
fatigue,tiered,racing heart
fatigue,exhausted,symptoms of schizophrenia
fatigue,physically,knee pain
fatigue,tired,sun sensitivity
fatigue,tired,random crying
fatigue,exhausting,crazy shit in my dreams
fatigue, tired,negative
fatigue,tired,thoughts of suicide
fatigue,exhausting,withdrawl
fatigue, tired,tremors
fatigue,tired,hurt
fatigue,tired,14 hour nap
fatigue,tired,addiction
fatigue,tired,zombie
fatigue,tiredness,heart rate
fatigue,tired,crippled
fatigue,tired,hunger inducing
fatigue,fatigue,munchies
fatigue,tired,rash 
fatigue,tired,stay in shape
fatigue,exhausting,hungry
fear,scared,low grade temp
feeling abnormal,zombiness,retarded
feeling abnormal,zombie,shooting pains down arms
feeling abnormal,haze,crazy ish
feeling abnormal,zombie,hurt
feeling abnormal,zombified,difficult to wake up
feeling abnormal,zombified,allergic reaction
feeling abnormal,zombieish,withdrawals
feeling abnormal,zombie,come too fast
feeling abnormal,floatin,rash 
feeling abnormal,tweaking,put much weight on
feeling abnormal,zombie,lightheadeded 
feeling abnormal,zombified,sweating
feeling abnormal,twerk me out,fatigue
feeling abnormal,loopy,brain zaps
feeling abnormal,zombieish,can't run
feeling abnormal,lo0o0py,tear my own face off &amp; eat it
feeling abnormal,twerk me out,14 hour nap
feeling abnormal,zombie,brain feels like its actually vibrating
feeling abnormal,wonky,won't you let me eat
feeling abnormal,fuzziness,look at my farrah fawcett poster
feeling abnormal,miserable,sick
feeling abnormal,wonky,put on weight
feeling abnormal,miserable,withdrawal
feeling abnormal,zombified,ulcers in mouth
feeling abnormal,zombie,cant really walk
feeling abnormal,lo0o0py,palpitations
feeling abnormal,zombie,never sleep
feeling abnormal,gorked,angry
feeling abnormal,gorked,thirsty
feeling abnormal,loopy,awake all night
feeling abnormal,tweaking,never sleep
feeling abnormal,out of it,vomits
feeling abnormal,zombie,beat up
feeling abnormal,zombie,leg is itching
feeling abnormal,zombie,loss of appetite
feeling abnormal,in a fog,pinsandneedles
feeling abnormal,out if it,panic attack
feeling abnormal,gorked,ocd
feeling abnormal,miserable,headaches
feeling abnormal,loopy,neck was red
feeling abnormal,zombie,worsening pain
feeling cold,cold,attention-killing
feeling drunk,feel wasted,sleep
feeling drunk,feel so drink,lower back ache
feeling drunk,feel wasted,erectile dysfunction
feeling drunk,drunk,3 days of hell
feeling drunk,feel wasted,toxic reactions
feeling hot,feel hot,sleepy
feeling jittery,jitters,hating the world
feeling of despair,desperation,weight gain
flat affect,flat,zombified
flat affect,flat,feel disgusting
fluid retention,fluid retention,no legit sex
fluid retention,fluid retention,rash
fluid retention,fluid retention,withdrawal
fluid retention,fluid retention,back to sleep
fluid retention,fluid retention,drowsy
food aversion,food just looks/sounds/tastes fucking disgusting,insomnia
food aversion,hating food,cravings
food craving,cravings,tired
food craving,cravings,priapism
food craving,cravings ,pooped out
food craving,cravings,allergic reaction 
food craving, carb cravings,crippled
food craving,cravings,psychotic episode
frequent bowel movements,continuous shitting,sleep paralysis
gait disturbance,limping,withdrawal
gait disturbance,limping ,lightweight
gait disturbance,limping ,nap
gait disturbance,limping ,cravings
gait inability,crippled,lost effectiveness
gait inability,crippled,sun sensitivity
gait inability,disable,withdrawn 
gait inability,crippled,neck ache
gait inability,crippled,painful
gait inability,crippled,barely function
gait inability,cant really walk,angry
gait inability,crippled,crying
gait inability,crippled,irritable
galactorrhoea,breastmilk production,sick
gastrointestinal pain,gastro pain,brain feels like its actually vibrating
glaucoma,glaucoma,ate
haemorrhage,bloodbath,allergic reaction
hallucination,hallucinate,parasthesia
hallucination,hallucinations,hungover
hallucination,hallucinate,need to sleep
hangover,hangover,tummy
hangover,hangover,aches
hangover,hangover,addiction
hangover,hangovers,forgetting
hangover,hangovers,gained over 20 lbs
hangover,hangover,swollen feet
hangover,hangovers,feel hot
headache,headache,tremors in hands and legs
headache,headache,increase my appetite
headache,headache,zombie
headache,headache,tiredness
headache,headaches ,barely function
headache,pains in head,hangovers
headache,headache,sweating
headache,headache,feeling ill
headache,headache,angry
headache,headaches ,slept 13-14 hrs
headache,headaches,mood swings
headache,headache,pain
headache,headaches,poor sleep
headache,headache,awake all night
headache,headache,addiction
headache,headaches,yawn
headache,headache,loopy
headache,headaches,withdrawal
heart rate abnormal,like i'm having a heart attack,knocked on my ass
heart rate abnormal,heart attack,withdrawals
heart rate increased,racing heart,headache
heart rate increased,fast pulse,antsy
heart rate irregular,heart rate,mentally drained
heart rate irregular,heart rate,awake
hot flush,hotflashes,restless leg syndrome
hunger,hungry,dry mouth
hunger,starving,fucked up
hunger,hungry,fatique
hunger,starving,added 1 stone
hunger,hungry,like i'm having a heart attack
hunger,hunger,addictive
hunger,hungry,withdrawals
hunger,munchies,"metabolic"""" syndrome"
hunger,munchies,knocked me out
hunger,hunger inducing,worsening pain
hunger,hungry,hands barely usable
hunger,hungry,headaches
hyperacusis,eyeballs make a sound,scared
hyperaesthesia,hyper-sensitive,limbs ached
hyperhidrosis,sweating,going to my head
hyperhidrosis,sweatin,prolactin
hyperhidrosis,sweatin,angry
hyperhidrosis,sweatin,like i'm having a heart attack
hyperhidrosis,sweating,back ache
hyperhidrosis,sweats,see shapes
hyperhidrosis,sweatin,skin issues
hyperhidrosis,sweating,feel so drink
hyperphagia,portions prob too big,withdrawal
hypersensitivity,allergic reaction,knee pain
hypersensitivity,allergic reaction ,paranoia
hypersensitivity,reaction,legs
hypersensitivity,allergic reaction ,reduces libido
hypersensitivity,allergic reaction ,stopped working
hypersensitivity,allergic reaction,can't run
hypersensitivity,reaction,sleep for 11 hours
hypersensitivity,allergic reaction,heels
hypersensitivity,allergic reaction,withdrawal
hypersensitivity,reaction,headache
hypersensitivity,allergic reaction,screwing up my sleep
hypersensitivity,reaction,gained weight
hypersensitivity,reaction,itchy
hypersomnia,asleep 24/7,fuck with your head
hypersomnia,17h sleep,vomit
hypersomnia,sleep for 11 hours,yucky
hypersomnia,sleep for dayyssss,ruined my creativity
hypersomnia,17h sleep,you are so horny and i am not
hypersomnia,slept 11 hours,mood swings
hypersomnia,sleep for days,tired
hypersomnia,sleeping 12 hours a night,pinsandneedles
hypersomnia,sleep for 12 hours,headaches
hypersomnia,slept 11 hours,screaming
hypomania,hypomania,knock me the fuck out 
hypotension,blood pressure low,tired
illogical thinking,bizarre thoughts,withdrawl
illusion,acid like trips,did make my legs go
immobile,mobile,withdrawals
increased appetite,eat so much,inside i was still screaming
increased appetite,eat so much,make those numbers bigger
increased appetite,eating,siiiiiiiiiiiiiiick
increased appetite,increase my appetite,keeping me up
increased appetite,"just eat, and eat",hip joints just started hurting
increased appetite,eating,withdrawl
influenza like illness,flu iike symptoms,can't cum
influenza like illness,flu iike symptoms,attention-killing
influenza like illness,flu symptoms,deliriousness
injection site pain,after-sting,balm
injection site pain,after-sting,rls
insomnia,nosleep,can't think as fast
insomnia,3am,no legit sex
insomnia,not sleeping,tension in my nerves
insomnia,insomnia,dizzy
insomnia,not let me sleep,tiered
insomnia,vampire,yawn
insomnia,no sleep,stacked on the weight
insomnia,cantsleep,allergic
insomnia,no sleep,withdrawls
insomnia,don't sleep,body ache
insomnia,cantsleep,weak
insomnia,nocturnal,sweating
insomnia,cant sleep,cramps
insomnia,3am,exhaustion 
insomnia,nocturnal,instability
insomnia,wide awake,panic attack
insomnia,awake,appetite
insomnia,need to sleep,weight i put on
insomnia,keeping me up,driving me insane
insomnia,nosleep,legs
insomnia,3am,eat
insomnia,sleeping schedule of a fucking vampire,hungry
insomnia,nocturnal,withdrawal
insomnia,insomnia,gain weight
insomnia,nocturnal,body would rock 
insomnia,sleeping schedule of a fucking vampire,respiratory issues
insomnia,insomnia,may not switch your brain off
insomnia,haven't slept,don't want to get up
insomnia,sleepless,parasthesia
insomnia,not sleeping,itchy
insomnia,cant sleep,doesn't even work for me anymore
insomnia,insomniac,sex drive
insomnia,stay up all night,toxic
insomnia,don't sleep,continuous shitting
insomnia,can't sleep,lethargy
insomnia,sleep,dissociation
insomnia,can't sleeeep, sleeping 18 hrs a day 
insomnia,insomniac,nightmares
insomnia,awake all night,puking
insomnia,awake,addiction
insomnia,can't sleep,nearly killed me
insomnia,awake,lower back pain
insomnia,cantsleep,tweaking
insomnia,cantsleep,feel like crap
insomnia,3am,pain
insomnia,nocturnal,blurry vision
insomnia,sleep,chemo
insomnia,can't sleeeep,scared
insomnia,can't sleeeep,drooling
insomnia,sleeping schedule of a vampire,burn my veins
irritability,hating the world,flat
irritability,irritated,pain
irritability,irritable,lung issues
irritability,irritable,descent into madness
irritability,hating the world,hallucinations
irritability,grumpy,dizzy
irritability,irritable,water weight
jc virus infection,jcv,suicidal thoughts
laziness,stay in shape,blurry vision
lethargy,lethargic,hangover
lethargy,lethargy,dreams
lethargy,lethargy,sleep paralysis
limb injury,blew out my arms,limping
limb injury,blew out my arms,falling asleep every day
limb injury,blew out my arms,libido
logorrhoea,talk a mile a minute,burns
loss of consciousness,knocks you outttttttt,diabetes risk
loss of consciousness,knocks you outttttttt,eyes worse
loss of consciousness,knocks you outttttttt,body would rock 
loss of libido,sex drive,mute
loss of libido,get the horn my life,prolactin
loss of libido,dead from the waist down,sleepies
loss of libido,might notice if i got hit in the crotch w/ a lance in a jousting accident,inability to cry
loss of libido,reduces libido,miserable
loss of libido,sex drive,sleep
loss of libido,libido,can't eat
loss of libido,sex drive,vomits
loss of libido,reduces libido,twerk me out
loss of libido,reduces libido,coming off klonopin and paxil was hell
loss of libido,get the horn my life,crazier
lung disorder,lungs,wideawake
lung disorder,lung issues,slow
lung disorder,lungs,sinuses close up
malaise,like taking rat poison,back pain
malaise,sick,vomit
malaise,sick,make me a bigger asshole
malaise,feeling like a train wreck,joint pain
malaise,sick,hurts
malaise,sick,emotional
malaise,sick,no appetite
malaise,sick,tired
malaise,sick,allergic
malaise,siiiiiiiiiiiiiiick,gain weight
malaise,messed me up,shoulder ache
malaise,sick,hungry
malaise,sick,lethargy
malaise,feel like death,central nervous system breakdown
malaise,sick,angry
malaise,wrecked,ability to cum
malaise,sick,sleeping
malaise,feel like shit, tendons in lots of pain
malaise,feel so ick,loopy
malaise,3 days of hell,heart was hurting
malaise,knocking me about, carb cravings
malaise,sicksicksick,headaches 
malaise,sick,weight-gaining
malaise,sick,nausea
malaise,sick,blew out my arms
malaise,feel like shit,hating the world
malaise,sick,saliva
malaise,sick,yawn
malaise,knocking me about,zombie-ness
malaise,sick,ulcers in mouth
malaise,sick,back pain
malaise,nasty,tweaking
malaise,feeling like a train wreck,zombiness
malaise,sick,memory loss
malaise,feeling like shit,taste
malaise,sick,"dont get it, sex"
malaise,sick,reaction
malaise,like taking rat poison,slept 13-14 hrs
malaise,feel like shit,withdrawals
malaise,feel like death,no appetite
malaise,fucked up,nausea
mania,manic reactions,twitch
mania,mania,addicted
mania,manic reactions,withdrawl
memory impairment,value your brain cells,crazy ish
memory impairment,cooked my brain,sleepy
memory impairment,amnesic,not feeling good
memory impairment,screwing with my memory,twerk me out
memory impairment,gaps in memory,sleep for days
memory impairment,memory,awake all night
memory impairment,memory,increase my appetite
mental disorder,driving my fucking mind up the fucking wall,think too much 
mental disorder,driving my fucking mind up the fucking wall,asleep
mental fatigue,mentally drained,sick
mental impairment,barely function,headache
mental impairment,brain so retarded,feel wasted
mental impairment,barely function,ache
mental impairment,retarded,tired
mental impairment,murdering my mind,eyeballs make a sound
mental impairment,brain so retarded,no taste
mental impairment,barely function,hunger
mental impairment,symptoms of schizophrenia,rash
mental impairment,murdering my mind,lucid dreaming
mental impairment,barely function,remembered what food is
mental impairment,wreck my head,calcium problems
mental impairment,brain so retarded,slept 13-14 hrs
mental impairment,descent into madness,withdrawals
mental impairment,retarded,constipation
metabolic syndrome,"metabolic"""" syndrome",rage
migraine,migraine,withdrawl
migraine,migraines,gaining weight
migraine,migraine,going to my head
migraine,migraines,over think
mood swings,mood swings,tummy
mood swings,mood swings,tired
mouth ulceration,ulcers in mouth,just about dead
muscle spasms,muscle spasms,instability
muscle spasms,cramps,face break out
muscle twitching,twitchy,crippled
muscle twitching,twitch,hallucinate
musculoskeletal discomfort,neck ache,eh whatever
musculoskeletal pain,musculo-skeletal pain,bone
mydriasis,dilated pupils,acne
nasal congestion,sinuses close up,palpitations
nasal congestion,sinuses close up,prop my eyelids open
nasal dryness,dry nose,descent into madness
nausea,nuasea,bloat
nausea,nauseous,comedown is hell
nausea,nuasea,skin issues
nausea,nausea,vomit
nausea,nauseated,nosleep
nausea,nuasea,gain weight
nausea,nauseous,portions prob too big
nausea,nauesousness,nosleep
nausea,feel disgusting,gain unwanted pounds
nausea,nauseous,tired
nausea,nausea,no appetite
nausea,nauesousness,lupus flare
nausea,nausea,sleepless
nausea,nausea,reduces libido
nausea,feel disgusting,withdrawals
nausea,nausea,screwing up my sleep
nausea,nausea,low grade temp
nausea,nausea,eyesight
nausea,nausea,dehydrate
nausea,nauseous,horrible sleep
near death experience,almost died,back ache
near death experience,almost died,gained over 20 lbs
neck pain,"neck, back, hip, and leg aches",sleeping schedule of a vampire
neck pain,neck,mania
neck pain,neck ache,gain alot of weight
negative thoughts,negative,priapism
nephrolithiasis,kidney stones,cooked my brain
nervous system disorder,central nervous system breakdown,knackered when i wake
nervous system disorder,central nervous system breakdown,coming off klonopin and paxil was hell
neuralgia,irritating my nerve endings,ab pain
nicotine dependence,craving,fuzziness
nicotine dependence,craving,nausea
nightmare,nightmares,drowsy
nightmare,nightmare,hangover
nightmare,bad dreams,fucks up my sleep
nightmare,nightmares,eat so much
nightmare,nightmares,high
nightmare,nightmares,sick
nightmare,horrendous venlafaxine dream,anxiety
nightmare,nightmare,constipation
obsessive-compulsive disorder,ocd,nausea
obsessive-compulsive disorder,ocd,limping 
obsessive-compulsive disorder,ocd,addicted
obsessive-compulsive disorder,ocd,tremors in hands and legs
obsessive-compulsive disorder,ocd,mute
obsessive-compulsive disorder,ocd,sweatin
obsessive-compulsive disorder,ocd,fluid retention
oedema,oedema,zombified
oscillopsia,vision shake,withdraws
pain,pain,withdrawls
pain,pain,paraesthesia
pain,hurt,stacked on the weight
pain,aches,twitch
pain,painful,manic
pain,pains,withdrawals
pain,hurt,knocked on my ass
pain,painful,sleep
pain,hurt,coming off effexor is not fun
pain,aches,blood pressure low
pain,aches, tendons in lots of pain
pain,hurt,impossible to cry
pain,body ache,sucked going from 100mg desvenlafaxine / day to zero
pain,oww,hyper-sensitive
pain,hurt,depression.
pain,pains,vampire
pain,pains,"hip, and leg aches"
pain,aches,hyper-sensitive
pain,painful,skin
pain,oww,addiction
pain,pains,withdrawls
pain,shooting pains down arms &amp; legs,lost tons of weight
pain,aching,feeling weird
pain,body ache,lost 17 pounds
pain,aches,brain zaps
pain,pain,withdrawal
pain,pain,dream
pain,pains,withdraw
pain,shooting pains down arms,whacks me out
pain,aches,withdrawals
pain,shooting pains down arms,suicidal
pain,aches,haze
pain,pain,hating food
pain,pain,not let me sleep
pain,pains,3 days of hell
pain,aches,ruined my creativity
pain in extremity,limbs ached,stress incontinence
pain in extremity,legs,withdraws
pain in extremity,arms just keep getting worse.,migraine
pain in extremity,heels,pale
pain in extremity,legs,nap
pain in extremity,arms just keep getting worse.,mad
pallor,pale,lucid dreaming
palpitations,palpitations,allergic reaction
palpitations,palpitations,weight still keeps coming
palpitations,heart will explode,ocd
pancreatitis,pancreatitis,gain weight
panic attack,panic attacks,weight gain
panic attack,panic attack,crazier
panic attack,panic attacks,sick
paraesthesia,paraesthesia,withdrawals
paraesthesia,pinsandneedles,taken control of my eyes
paraesthesia,paraesthesia,stuffy sinuses
paraesthesia,tingling,lower back ache
paraesthesia,brain zap,vertigo
paraesthesia,brain zaps,memory loss
paraesthesia,paraesthesia,burned
paraesthesia,paraesthesia,loopy
paraesthesia,parasthesia,"just eat, and eat"
paraesthesia,pinsandneedles,rid of my appetite
paraesthesia,brain feels like its actually vibrating,gain 20 lbs
paranoia,paranoia,yawning
peripheral swelling,swollen feet,confusion
peripheral swelling,swollen lower legs,sweaty
personality change,messed up my attitude,just now wake up
personality change,makes me an asshole,orgasm
personality change,makes me an asshole,withdrawals
personality disorder,mean,got ten minutes of sleep
pharyngeal hypoaesthesia,cant feel my throat,loss of appetite
photosensitivity reaction,tolerance to the sun,addicted
photosensitivity reaction,sun sensitivity,headaches
photosensitivity reaction,sun sensitivity,addictive
photosensitivity reaction,tolerance to the sun,disturbed sleep
pollakiuria,pee so often,symptoms of schizophrenia
pollakiuria,pee so often,glaucoma
poor peripheral circulation,loss of circulation ,withdraw
poor quality sleep,poor sleep,pain
poor quality sleep,poor sleep,addicted
premature ejaculation,come too fast,zombie
presyncope,vasovagal pre-syncope,messed me up
priapism,bone,drowsy
priapism,priapism,hip joints just started hurting
priapism,bone,pains
pruritus,leg is itching,withdrawal
pruritus,leg is itching,dream
pruritus,itchy skin ,painful
psychomotor hyperactivity,hyper,energy
psychotic behaviour,psychotic reactions,diarrhea
psychotic disorder,falling into a realm of utter disillusion,mixed episode
psychotic disorder,psychotic episode,boobs humungous
psychotic disorder,crazy town,headaches
psychotic disorder,crazier,zombie
psychotic disorder,crazier,disturbed sleep
psychotic disorder,crazy town,weight gain
psychotic disorder,crazier,stomach cramps
psychotic disorder,psychotic episode,withdraws
pyrexia,fever,depressed
rash,rash,withdrawal
rash,rash,felt like chemo
rash,rash,feels like one of those 5-cup #coffee days
rash,rash ,nearly killed me
rash,rash,"back, hip, and leg aches"
rash,rash,dream
rash,rash,insomnia
rash,rash ,instability
