ENG,term_HLT,term_HLGT,term_SOC
Postmortem blood drug level,Toxicology laboratory analyses,Toxicology and therapeutic drug monitoring,Investigations
Enzyme inhibition,Therapeutic and nontherapeutic responses,Therapeutic and nontherapeutic effects (excl toxicity),General disorders and administration site conditions
Atrial natriuretic peptide normal,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Neutropenia,Neutropenias,White blood cell disorders,Blood and lymphatic system disorders
Cytomegalovirus viraemia,Cytomegaloviral infections,Viral infectious disorders,Infections and infestations
Inflammatory marker test,Chemistry analyses NEC,Protein and chemistry analyses NEC,Investigations
Choroidal dystrophy,"Choroid and vitreous structural change, deposit and degeneration","Ocular structural change, deposit and degeneration NEC",Eye disorders
Strangulated hernia,Hernias NEC,General system disorders NEC,General disorders and administration site conditions
Peritoneal sarcoma,Gastrointestinal neoplasms malignant NEC,Gastrointestinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
CD4 lymphocytes decreased,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Inflammatory carcinoma of the breast,Breast and nipple neoplasms malignant,Breast neoplasms malignant and unspecified (incl nipple),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Anaphylactoid shock,Anaphylactic and anaphylactoid responses,Allergic conditions,Immune system disorders
Pickwickian syndrome,Breathing abnormalities,Respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders"
Haemangioma congenital,Vascular anomalies congenital NEC,Cardiac and vascular disorders congenital,"Congenital, familial and genetic disorders"
Water intoxication,Total fluid volume increased,Electrolyte and fluid balance conditions,Metabolism and nutrition disorders
Intrusive thoughts,Thinking disturbances,Disturbances in thinking and perception,Psychiatric disorders
Cardiac murmur functional,Cardiac auscultatory investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Soft tissue infection,Muscle and soft tissue infections,Infections - pathogen unspecified,Infections and infestations
Spinal cord injury cauda equina,Spinal cord injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Disseminated aspergillosis,Aspergillus infections,Fungal infectious disorders,Infections and infestations
Myopathy toxic,Myopathies,Muscle disorders,Musculoskeletal and connective tissue disorders
Alpha 1 foetoprotein amniotic fluid,Foetal and neonatal diagnostic procedures,Foetal and neonatal investigations,Investigations
Oesophagoscopy,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Cystitis gonococcal,Neisseria infections,Bacterial infectious disorders,Infections and infestations
Positron emission tomogram normal,Imaging procedures NEC,"Investigations, imaging and histopathology procedures NEC",Investigations
Bone marrow oedema syndrome,Haematological disorders,Haematological disorders NEC,Blood and lymphatic system disorders
Inhibiting antibodies negative,Immunology analyses NEC,Immunology and allergy investigations,Investigations
Coronary ostial stenosis,Coronary artery disorders NEC,Coronary artery disorders,Cardiac disorders
CSF lactate dehydrogenase decreased,Cerebrospinal fluid tests (excl microbiology),"Neurological, special senses and psychiatric investigations",Investigations
Edentulous,Disability issues,Lifestyle issues,Social circumstances
Pancreatic carcinoma metastatic,Pancreatic neoplasms malignant (excl islet cell and carcinoid),Gastrointestinal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
CD4/CD8 ratio decreased,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Autosomal recessive megaloblastic anaemia,Anaemias congenital (excl haemoglobinopathies),Blood and lymphatic system disorders congenital,"Congenital, familial and genetic disorders"
Injection site mass,Injection site reactions,Administration site reactions,General disorders and administration site conditions
Binge eating,Eating disorders NEC,Eating disorders and disturbances,Psychiatric disorders
Penile size reduced,Penile disorders NEC (excl erection and ejaculation),Penile and scrotal disorders (excl infections and inflammations),Reproductive system and breast disorders
Plasmablast count,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Hydroxycorticosteroids urine increased,Adrenal cortex tests,Endocrine investigations (incl sex hormones),Investigations
Human placental lactogen increased,Reproductive hormone analyses,Endocrine investigations (incl sex hormones),Investigations
Early satiety,Feelings and sensations NEC,General system disorders NEC,General disorders and administration site conditions
Silicosis,Chest and respiratory tract injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Hyperchromasia,Red blood cell abnormal findings NEC,Red blood cell disorders,Blood and lymphatic system disorders
Intraductal papillary mucinous neoplasm,Gastrointestinal neoplasms benign NEC,Gastrointestinal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Haemoglobin C,Red blood cell analyses,Haematology investigations (incl blood groups),Investigations
Hypomagnesaemia,Magnesium metabolism disorders,"Bone, calcium, magnesium and phosphorus metabolism disorders",Metabolism and nutrition disorders
Acute zonal occult outer retinopathy,Retinopathies NEC,"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye disorders
Sick cell syndrome,Cell metabolism disorders NEC,Metabolism disorders NEC,Metabolism and nutrition disorders
Goniotomy,Iris and ciliary body therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures
Congenital thrombocyte disorder,Coagulation disorders congenital,Blood and lymphatic system disorders congenital,"Congenital, familial and genetic disorders"
Product appearance confusion,Product confusion errors and issues,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Lasegue's test,Neurologic diagnostic procedures,"Neurological, special senses and psychiatric investigations",Investigations
Asphyxia,Conditions associated with abnormal gas exchange,Respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders"
Paradoxical pressor response,Vascular hypertensive disorders NEC,Vascular hypertensive disorders,Vascular disorders
Seminal vesiculitis gonococcal,Neisseria infections,Bacterial infectious disorders,Infections and infestations
Capillary permeability,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Congenital small intestinal atresia,Intestinal disorders congenital,Gastrointestinal tract disorders congenital,"Congenital, familial and genetic disorders"
Transient ischaemic attack,Transient cerebrovascular events,Central nervous system vascular disorders,Nervous system disorders
Benign congenital hypotonia,Non-site specific muscle disorders congenital,Musculoskeletal and connective tissue disorders congenital,"Congenital, familial and genetic disorders"
Myelofibrosis,Myeloproliferative disorders (excl leukaemias),Haematopoietic neoplasms (excl leukaemias and lymphomas),"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Orthostatic proteinuria,Urinary abnormalities,Urinary tract signs and symptoms,Renal and urinary disorders
Anti-insulin antibody decreased,Autoimmunity analyses,Immunology and allergy investigations,Investigations
Carotid pulse increased,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Nutritional condition normal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Product dose omission issue,Product administration errors and issues,Medication errors and other product use errors and issues,"Injury, poisoning and procedural complications"
Blood homocysteine decreased,Metabolism tests NEC,"Metabolic, nutritional and blood gas investigations",Investigations
Fibrinolysis,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Adjustment disorder,Adjustment disorders,Adjustment disorders (incl subtypes),Psychiatric disorders
Genital prolapse,Pelvic prolapse conditions,"Uterine, pelvic and broad ligament disorders",Reproductive system and breast disorders
Scan bone marrow abnormal,Bone marrow and immune tissue imaging procedures,Haematology investigations (incl blood groups),Investigations
Excessive dietary supplement intake,Dietary and nutritional therapies,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Ulnar neuritis,Mononeuropathies,Peripheral neuropathies,Nervous system disorders
Vascular ligation,Vascular therapeutic procedures NEC,Vascular therapeutic procedures,Surgical and medical procedures
Intravascular lipoma,Soft tissue neoplasms benign NEC,Soft tissue neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Daydreaming,Cognitive and attention disorders and disturbances NEC,Cognitive and attention disorders and disturbances,Psychiatric disorders
Biopsy tonsil,Respiratory tract and thoracic histopathology procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Infective pericardial effusion,Cardiac infections,Infections - pathogen unspecified,Infections and infestations
Fulminant type 1 diabetes mellitus,Diabetes mellitus (incl subtypes),Glucose metabolism disorders (incl diabetes mellitus),Metabolism and nutrition disorders
Maximal voluntary ventilation normal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Ventricular internal diameter,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Barium meal abnormal,Gastrointestinal and abdominal imaging procedures,Gastrointestinal investigations,Investigations
Reversible cerebral vasoconstriction syndrome,Central nervous system vascular disorders NEC,Central nervous system vascular disorders,Nervous system disorders
Anal spasm,Anal and rectal signs and symptoms,Anal and rectal conditions NEC,Gastrointestinal disorders
Prostate cancer stage I,Prostatic neoplasms malignant,Reproductive neoplasms male malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Urine calcium,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
Bone cancer metastatic,Bone neoplasms malignant (excl sarcomas),Skeletal neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Bone marrow donation,Haematological therapeutic procedures NEC,Haematological and lymphoid tissue therapeutic procedures,Surgical and medical procedures
Product barcode issue,Product label issues,"Product quality, supply, distribution, manufacturing and quality system issues",Product issues
Natural killer cell activity normal,Immunology analyses NEC,Immunology and allergy investigations,Investigations
Internal carotid artery deformity,Central nervous system vascular disorders NEC,Central nervous system vascular disorders,Nervous system disorders
Adiponectin increased,Endocrine analyses and imaging NEC,Endocrine investigations (incl sex hormones),Investigations
Ovarian germ cell embryonal carcinoma stage I,Ovarian germ cell neoplasms malignant,Reproductive neoplasms female malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Residual urine volume decreased,Urinary tract function analyses NEC,Renal and urinary tract investigations and urinalyses,Investigations
Chronic eosinophilic rhinosinusitis,Paranasal sinus disorders (excl infections and neoplasms),Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Prosthesis implantation,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Intraosseous lipoma,Bone neoplasms benign (excl cysts),Skeletal neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Immune-mediated adverse reaction,Immune and associated conditions NEC,Immune disorders NEC,Immune system disorders
Chronic respiratory disease,Respiratory tract disorders NEC,Respiratory disorders NEC,"Respiratory, thoracic and mediastinal disorders"
Progestin therapy,Hormonal therapeutic procedures NEC,Endocrine gland therapeutic procedures,Surgical and medical procedures
Preventive surgery,Prophylactic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Perisplenitis,Spleen disorders,"Spleen, lymphatic and reticuloendothelial system disorders",Blood and lymphatic system disorders
Tooth socket haemostasis,Dental and gingival therapeutic procedures,Head and neck therapeutic procedures,Surgical and medical procedures
Cobb syndrome,Vascular anomalies congenital NEC,Cardiac and vascular disorders congenital,"Congenital, familial and genetic disorders"
Anaesthetic premedication,Anaesthesia and allied procedures,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Anti-thyroid antibody,Thyroid analyses,Endocrine investigations (incl sex hormones),Investigations
Blood folate,Vitamin analyses,"Metabolic, nutritional and blood gas investigations",Investigations
Gastrointestinal necrosis,Gastrointestinal necrosis and gangrene (excl gangrenous hernia),Gastrointestinal vascular conditions,Gastrointestinal disorders
Hormone suppression therapy,Hormonal therapeutic procedures NEC,Endocrine gland therapeutic procedures,Surgical and medical procedures
Ovarian hyperstimulation syndrome,Ovarian and fallopian tube disorders NEC,Ovarian and fallopian tube disorders,Reproductive system and breast disorders
Oropharyngeal discomfort,Upper respiratory tract signs and symptoms,Respiratory tract signs and symptoms,"Respiratory, thoracic and mediastinal disorders"
Apolipoprotein C abnormal,Lipoprotein and lipid tests NEC,Lipid analyses,Investigations
Gated single photon emission computerised tomogram,Cardiac imaging procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Perforation,General signs and symptoms NEC,General system disorders NEC,General disorders and administration site conditions
Feeding disorder,General nutritional disorders NEC,Appetite and general nutritional disorders,Metabolism and nutrition disorders
Hepatitis alcoholic,Hepatocellular damage and hepatitis NEC,Hepatic and hepatobiliary disorders,Hepatobiliary disorders
Facial nerve exploration,Cranial nerve therapeutic procedures,"Nervous system, skull and spine therapeutic procedures",Surgical and medical procedures
Orthopaedic examination normal,Physical examination procedures and organ system status,Physical examination and organ system status topics,Investigations
Cleft lip and palate,Palate disorders congenital,Gastrointestinal tract disorders congenital,"Congenital, familial and genetic disorders"
Biopsy vulva abnormal,Reproductive organ and breast histopathology procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Dactylitis,Musculoskeletal and connective tissue infections and inflammations NEC,Musculoskeletal and connective tissue disorders NEC,Musculoskeletal and connective tissue disorders
Female genital organs X-ray normal,Reproductive organ and breast imaging procedures,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Breast injury,Reproductive system and breast injuries,Injuries NEC,"Injury, poisoning and procedural complications"
Percutaneous coronary intervention,Arterial therapeutic procedures (excl aortic),Vascular therapeutic procedures,Surgical and medical procedures
Hyperviscosity syndrome,Haematological disorders,Haematological disorders NEC,Blood and lymphatic system disorders
Carbohydrate antigen 125 normal,Cell marker analyses,Cytogenetic investigations,Investigations
Vibratory sense increased,Sensory abnormalities NEC,Neurological disorders NEC,Nervous system disorders
Methylenetetrahydrofolate reductase polymorphism,Genetic polymorphisms,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Providencia urinary tract infection,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Alkalosis hypokalaemic,Metabolic alkaloses,Acid-base disorders,Metabolism and nutrition disorders
Cholesterin granuloma of middle ear,Aural neoplasms benign,Miscellaneous and site unspecified neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Nodule,Mass conditions NEC,Tissue disorders NEC,General disorders and administration site conditions
Acute flaccid myelitis,Myelitis (incl infective),Central nervous system infections and inflammations,Nervous system disorders
Prostatic fluid leukocytes increased,Fertility analyses,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Blood gastrin decreased,"Gastrointestinal, pancreatic and APUD hormone analyses",Endocrine investigations (incl sex hormones),Investigations
Anti-actin antibody,Autoimmunity analyses,Immunology and allergy investigations,Investigations
pH semen,Fertility analyses,Reproductive organ and breast investigations (excl hormone analyses),Investigations
External ear neoplasm malignant,Aural neoplasms malignant and unspecified,Miscellaneous and site unspecified neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Risk of future pregnancy miscarriage,High risk pregnancies,"Pregnancy, labour, delivery and postpartum conditions","Pregnancy, puerperium and perinatal conditions"
Corneal implant,Corneal and scleral therapeutic procedures,Eye therapeutic procedures,Surgical and medical procedures
Haemangioma of skin,Skin neoplasms benign,Cutaneous neoplasms benign,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Parasystole,Rate and rhythm disorders NEC,Cardiac arrhythmias,Cardiac disorders
Portal fibrosis,Hepatic fibrosis and cirrhosis,Hepatic and hepatobiliary disorders,Hepatobiliary disorders
Vegetarian,Dietary and nutritional issues,Lifestyle issues,Social circumstances
Vaccination site movement impairment,Vaccination site reactions,Administration site reactions,General disorders and administration site conditions
Diverticulitis intestinal perforated,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infections and infestations
Stridor,"Laryngeal spasm, oedema and obstruction",Upper respiratory tract disorders (excl infections),"Respiratory, thoracic and mediastinal disorders"
Nocturia,Urinary tract signs and symptoms NEC,Urinary tract signs and symptoms,Renal and urinary disorders
Autonomic dysreflexia,Spinal cord injuries NEC,Injuries NEC,"Injury, poisoning and procedural complications"
Granulocytes abnormal,White blood cell analyses,Haematology investigations (incl blood groups),Investigations
Peak nasal inspiratory flow abnormal,Respiratory and pulmonary function diagnostic procedures,Respiratory and pulmonary investigations (excl blood gases),Investigations
Dry weight evaluation,Investigations NEC,"Investigations, imaging and histopathology procedures NEC",Investigations
Brachiocephalic vein stenosis,Site specific necrosis and vascular insufficiency NEC,"Arteriosclerosis, stenosis, vascular insufficiency and necrosis",Vascular disorders
Infusion site vasculitis,Infusion site reactions,Administration site reactions,General disorders and administration site conditions
Human herpes virus 6 serology negative,Virus identification and serology,Microbiology and serology investigations,Investigations
CYP2B6 polymorphism,Genetic polymorphisms,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Wallerian degeneration,Nervous system disorders NEC,Neurological disorders NEC,Nervous system disorders
Artificial heart device user,Disability issues,Lifestyle issues,Social circumstances
Fear of weight gain,Fear symptoms and phobic disorders (incl social phobia),Anxiety disorders and symptoms,Psychiatric disorders
Congenital epiblepharon,Eyelid disorders congenital,Eye disorders congenital,"Congenital, familial and genetic disorders"
Red blood cell sedimentation rate increased,Haematological analyses NEC,Haematology investigations (incl blood groups),Investigations
Peritoneal fluid protein increased,Peritoneal fluid and membrane function analyses,Gastrointestinal investigations,Investigations
Weaning failure,Respiratory tract and thoracic cavity procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Fluorescence angiogram abnormal,Vascular imaging procedures NEC,Cardiac and vascular investigations (excl enzyme tests),Investigations
Serum procollagen type I N-terminal propeptide decreased,Protein analyses NEC,Protein and chemistry analyses NEC,Investigations
Rheumatoid vasculitis,Vasculitides NEC,Vascular infections and inflammations,Vascular disorders
Splint application,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Lysozyme,Lysosomal enzyme analyses,Enzyme investigations NEC,Investigations
Thrombocytopenic purpura,Thrombocytopenias,Platelet disorders,Blood and lymphatic system disorders
Urine glucose/creatinine ratio increased,Urinalysis NEC,Renal and urinary tract investigations and urinalyses,Investigations
Ileocolostomy,Gastrointestinal therapeutic procedures NEC,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Serum ferritin decreased,Mineral and electrolyte analyses,"Water, electrolyte and mineral investigations",Investigations
Therapeutic skin care topical,Skin and subcutaneous tissue therapeutic procedures NEC,Skin and subcutaneous tissue therapeutic procedures,Surgical and medical procedures
Vocal cord paresis,Vagus nerve disorders,Cranial nerve disorders (excl neoplasms),Nervous system disorders
Adventitial cystic disease,Non-site specific vascular disorders NEC,Vascular disorders NEC,Vascular disorders
Erythroblastosis,Red blood cell abnormal findings NEC,Red blood cell disorders,Blood and lymphatic system disorders
Urine retinol binding protein,Renal function analyses,Renal and urinary tract investigations and urinalyses,Investigations
Neurologic somatic symptom disorder,Somatic symptom disorders,Somatic symptom and related disorders,Psychiatric disorders
Retinoblastoma,Ocular neoplasms malignant (excl melanomas),Ocular neoplasms,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Megakaryocyte destruction increased,Platelet disorders NEC,Platelet disorders,Blood and lymphatic system disorders
Phacolytic glaucoma,Glaucomas (excl congenital),Glaucoma and ocular hypertension,Eye disorders
Gastric infection,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infections and infestations
Sperm analysis normal,Fertility analyses,Reproductive organ and breast investigations (excl hormone analyses),Investigations
Left atrial volume abnormal,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Mite allergy,Allergic conditions NEC,Allergic conditions,Immune system disorders
Immune complex level increased,Immunology analyses NEC,Immunology and allergy investigations,Investigations
"2',5'-oligoadenylate synthetase test",Tissue enzyme analyses NEC,Enzyme investigations NEC,Investigations
Skin erosion,Skin and subcutaneous tissue ulcerations,Skin and subcutaneous tissue disorders NEC,Skin and subcutaneous tissue disorders
Dysmorphophobia,Fear symptoms and phobic disorders (incl social phobia),Anxiety disorders and symptoms,Psychiatric disorders
Angiogram,Vascular imaging procedures NEC,Cardiac and vascular investigations (excl enzyme tests),Investigations
Muscle flap operation,Muscle therapeutic procedures,Soft tissue therapeutic procedures,Surgical and medical procedures
Device telemetry issue,Device information output issues,Device issues,Product issues
Prostate cryoablation,Prostatic therapeutic procedures,Male genital tract therapeutic procedures,Surgical and medical procedures
Ganglioneuroblastoma,Nervous system neoplasms malignant NEC,Nervous system neoplasms malignant and unspecified NEC,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Attention-seeking behaviour,Behaviour and socialisation disturbances,Personality disorders and disturbances in behaviour,Psychiatric disorders
Dermatitis diaper,Dermatitis and eczema,Epidermal and dermal conditions,Skin and subcutaneous tissue disorders
Thoracic spinal stenosis,Spine and neck deformities,Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musculoskeletal and connective tissue disorders
Acute interstitial pneumonitis,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders"
Congenital fallopian tube anomaly,Female reproductive tract disorders congenital,Reproductive tract and breast disorders congenital,"Congenital, familial and genetic disorders"
Cardiac pacemaker evaluation,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Bicytopenia,Marrow depression and hypoplastic anaemias,Anaemias nonhaemolytic and marrow depression,Blood and lymphatic system disorders
Dependence,Substance related and addictive disorders,Psychiatric disorders NEC,Psychiatric disorders
Proctitis monilial,Candida infections,Fungal infectious disorders,Infections and infestations
Ossicle disorder,Middle ear disorders NEC,Middle ear disorders (excl congenital),Ear and labyrinth disorders
Second primary malignancy,Neoplasms malignant site unspecified NEC,Miscellaneous and site unspecified neoplasms malignant and unspecified,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Abdominal infection,Abdominal and gastrointestinal infections,Infections - pathogen unspecified,Infections and infestations
Galectin-3 test,Cell marker analyses,Cytogenetic investigations,Investigations
Idiopathic angioedema,Angioedemas,Angioedema and urticaria,Skin and subcutaneous tissue disorders
Holt-Oram syndrome,Gene mutations and other alterations NEC,"Chromosomal abnormalities, gene alterations and gene variants","Congenital, familial and genetic disorders"
Blood triglycerides decreased,Triglyceride analyses,Lipid analyses,Investigations
Oedema,Oedema NEC,General system disorders NEC,General disorders and administration site conditions
Dementia,Dementia (excl Alzheimer's type),Mental impairment disorders,Nervous system disorders
Coagulation test abnormal,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Ovarian bacterial infection,Bacterial infections NEC,Bacterial infectious disorders,Infections and infestations
Intestinal sepsis,"Sepsis, bacteraemia, viraemia and fungaemia NEC",Infections - pathogen unspecified,Infections and infestations
Uterine cervical metaplasia,Cervix disorders NEC,Cervix disorders (excl infections and inflammations),Reproductive system and breast disorders
Dopaminergic drug therapy,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Vitreous haematoma,Choroid and vitreous haemorrhages and vascular disorders,"Retina, choroid and vitreous haemorrhages and vascular disorders",Eye disorders
Ectopic pregnancy termination,Obstetric therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Sudden visual loss,Visual impairment and blindness (excl colour blindness),Vision disorders,Eye disorders
Postoperative care,Therapeutic procedures NEC,Therapeutic procedures and supportive care NEC,Surgical and medical procedures
Gastrocardiac syndrome,Cardiac signs and symptoms NEC,"Cardiac disorders, signs and symptoms NEC",Cardiac disorders
Combined immunodeficiency,Immune system abnormalities congenital,Immune system disorders congenital,"Congenital, familial and genetic disorders"
Electrocardiogram T wave peaked,ECG investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Blepharophimosis congenital,Eyelid disorders congenital,Eye disorders congenital,"Congenital, familial and genetic disorders"
Bronchitis,Lower respiratory tract and lung infections,Infections - pathogen unspecified,Infections and infestations
Venous intravasation,Non-site specific procedural complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Blood catecholamines normal,Adrenal medulla tests,Endocrine investigations (incl sex hormones),Investigations
Bladder operation,Bladder therapeutic procedures,Renal and urinary tract therapeutic procedures,Surgical and medical procedures
Periventricular haemorrhage neonatal,Central nervous system haemorrhages and cerebrovascular accidents,Central nervous system vascular disorders,Nervous system disorders
Central nervous system infection,Central nervous system and spinal infections,Infections - pathogen unspecified,Infections and infestations
Vaginal dilation procedure,Vaginal therapeutic procedures,Obstetric and gynaecological therapeutic procedures,Surgical and medical procedures
Idiopathic pneumonia syndrome,Parenchymal lung disorders NEC,Lower respiratory tract disorders (excl obstruction and infection),"Respiratory, thoracic and mediastinal disorders"
Intestinal T-cell lymphoma stage III,Intestinal T-cell lymphomas,Lymphomas non-Hodgkin's T-cell,"Neoplasms benign, malignant and unspecified (incl cysts and polyps)"
Stress echocardiogram abnormal,Cardiac function diagnostic procedures,Cardiac and vascular investigations (excl enzyme tests),Investigations
Penoscrotal fusion,Male reproductive tract disorders congenital,Reproductive tract and breast disorders congenital,"Congenital, familial and genetic disorders"
Plasminogen activator inhibitor decreased,Coagulation and bleeding analyses,Haematology investigations (incl blood groups),Investigations
Brachial pulse increased,Heart rate and pulse investigations,Cardiac and vascular investigations (excl enzyme tests),Investigations
Complications of limb reattachment surgery,Transplantation complications,Procedural related injuries and complications NEC,"Injury, poisoning and procedural complications"
Cor pulmonale chronic,Right ventricular failures,Heart failures,Cardiac disorders
Strong's procedure,Small intestine therapeutic procedures,Gastrointestinal therapeutic procedures,Surgical and medical procedures
Head deformity,"Musculoskeletal and connective tissue deformities of skull, face and buccal cavity",Musculoskeletal and connective tissue deformities (incl intervertebral disc disorders),Musculoskeletal and connective tissue disorders
Adrenolytic syndrome,Autonomic nervous system disorders,Neuromuscular disorders,Nervous system disorders
Single parent family,Family and partner issues,Family issues,Social circumstances
Abnormal organ maturation,Trophic disorders,Tissue disorders NEC,General disorders and administration site conditions
Mesangioproliferative glomerulonephritis,Glomerulonephritis and nephrotic syndrome,Nephropathies,Renal and urinary disorders
Thought blocking,Thinking disturbances,Disturbances in thinking and perception,Psychiatric disorders
Osteomyelitis acute,Bone and joint infections,Infections - pathogen unspecified,Infections and infestations
Herpes simplex pneumonia,Herpes viral infections,Viral infectious disorders,Infections and infestations
