,LLT,PT
207,postoperative haemorrhage,post procedural haemorrhage
208,extrinsic vascular compression,vascular compression
209,cannula site reaction,catheter site related reaction
210,cancer of vagina stage 0,vaginal cancer stage 0
211,diabetic eye disease nos,diabetic eye disease
212,esophageal varices without mention of bleeding,varices oesophageal
213,malignant neoplasm of floor of mouth stage ii,lip and/or oral cavity cancer stage ii
214,nasopharyngeal cancer nos,nasopharyngeal cancer
215,oesophageal squamous cell carcinoma thoracic stage ii,oesophageal squamous cell carcinoma stage ii
216,west nile virus antibody positive,west nile virus test positive
217,gonadotropin deficiency,gonadotrophin deficiency
218,inadequate lead connection,device connection issue
219,vaginal sloughing,vulvovaginal exfoliation
220,eye inflamed,eye inflammation
221,thalamic pain,central pain syndrome
222,opioid naive,therapy naive
223,absent baseline fetal heart rate variability,baseline foetal heart rate variability disorder
224,urine calcium oxalate crystal present,crystal urine present
225,threatened abortion,abortion threatened
226,potassium abnormal,blood potassium abnormal
227,diminished sense of smell,hyposmia
228,esophageal squamous cell carcinoma,oesophageal squamous cell carcinoma
229,ileoproctostomy,intestinal anastomosis
230,serum ph nos,blood ph
231,unspecified infective arthritis involving forearm,arthritis infective
232,exercise capacity decreased,exercise tolerance decreased
233,pemphigus-like lesion,pemphigus
234,hand injury,limb injury
235,malignant neoplasm of rectum stage iv,rectal cancer stage iv
236,leigh syndrome,mitochondrial encephalomyopathy
237,adenocarcinoma of lung in situ,lung adenocarcinoma stage 0
238,fibrosis retroperitoneal,retroperitoneal fibrosis
239,infected ingrowing toe nail,paronychia
240,nuclear magnetic resonance imaging abdominal abnormal,magnetic resonance imaging abdominal abnormal
241,gnashing tooth,bruxism
242,medicinal patch adhesion decreased,product adhesion issue
243,transient osteoporosis,bone marrow oedema syndrome
244,nait,neonatal alloimmune thrombocytopenia
245,pes valgus,foot deformity
246,pyelonephritis acute nos,pyelonephritis acute
247,partially implanted venous catheterisation,catheterisation venous
248,"bilateral inguinal hernia, with obstruction, without mention of gangrene","inguinal hernia, obstructive"
249,malnutrition-inflammation-cachexia syndrome,malnutrition-inflammation-atherosclerosis syndrome
250,drug delivery device implantation,drug delivery device placement
251,generalised onset motor seizure,generalised tonic-clonic seizure
252,manufacturing stability testing chemical analysis purity issue,manufacturing stability testing issue
253,serum cholinesterase,blood cholinesterase
254,small cleaved follicular cell lymphoma (mantle cell lymphoma) stage iii,mantle cell lymphoma stage iii
255,hemorrhage symptom,haemorrhage
256,glaucomatous cupping of optic disc,glaucomatous optic disc atrophy
257,lutotropin,blood luteinising hormone
258,hypermature cataract,cataract
259,"unspecified haemorrhage in early pregnancy, antepartum",haemorrhage in pregnancy
260,colonic carcinoma in situ,colon cancer stage 0
261,tonic pupillary reaction,miosis
262,peripheral embolism nos,peripheral embolism
263,herpes zoster dermatitis,herpes zoster
264,uric acid normal,blood uric acid normal
265,gallbladder adenomyomatosis,hyperplastic cholecystopathy
266,covid-19 pneumonia aggravated,covid-19 pneumonia
267,oesophagogastric devascularisation,sugiura procedure
268,living donor liver transplant,liver transplant
269,diathermy of vulval warts,vulval warts removal
270,femoral arterial stenosis,peripheral artery stenosis
271,plasma triglycerides abnormal,blood triglycerides abnormal
272,kappa light chain analysis increased,light chain analysis increased
273,cor pulmonale nos,cor pulmonale
274,open dislocation of metacarpophalangeal (joint),joint dislocation
275,large cell immunoblastic lymphoma (angiocentric lymphoma) (working formulation) stage iii,angiocentric lymphoma stage iii
276,small stature,short stature
277,pyloric ulcer perforation,gastric ulcer perforation
278,hypoglycaemic shock,shock hypoglycaemic
279,"cannabis dependence, episodic use",drug dependence
280,whole body cat abnormal,computerised tomogram abnormal
281,pathologic fracture of humerus,pathological fracture
282,carbon dioxide blood increased,carbon dioxide increased
283,yersinia pestis infection,plague
284,corynebacterium pseudodiphtheriticum infection,corynebacterium infection
285,asped,multiple epiphyseal dysplasia
286,crepitations nos,crepitations
287,anaphylactic reaction to chemical,anaphylactic reaction
288,ovary removal,oophorectomy
289,"fracture of cuneiform bone of foot, closed",foot fracture
290,graefe's sign,lid lag
291,hydrocele drainage normal,hydrocele drainage test normal
292,gum recession,gingival recession
293,latent yaws,yaws
294,stent complication,complication associated with device
295,malignant fibrous histiocytoma of bone localised,malignant fibrous histiocytoma of bone
296,computerized tomogram abdomen normal,computerised tomogram abdomen normal
297,scintigraphy nos,radioisotope scan
298,nuclear cataract,cataract nuclear
299,conjunctival hyperemia,conjunctival hyperaemia
300,primary central nervous system lymphoma,central nervous system lymphoma
301,sacrococcygeal x-ray,spinal x-ray
302,diffuse large cell lymphoma (adult t-cell lymphoma/leukemia) (working formulation) stage ii,adult t-cell lymphoma/leukaemia stage ii
303,fractured jaw,jaw fracture
304,presence of q wave,electrocardiogram q waves
305,carditis pericardium myocardium,myocarditis
306,dry rhinitis,rhinitis atrophic
307,brain stem disorder,brain stem syndrome
308,radial styloid tenosynovitis,tenosynovitis stenosans
309,heart disorder,cardiac disorder
310,blood electrolytes nos,blood electrolytes
311,conjunctival redness,conjunctival hyperaemia
312,cerebellar cortex gliosis,gliosis
313,other esophagitis,oesophagitis
314,hemophilus parainfluenzae test positive,haemophilus test positive
315,plastic stent occlusion,device occlusion
316,pain precordial,chest pain
317,hypochondriasis,illness anxiety disorder
318,"tuberculosis of ureter, tubercle bacilli found (in sputum) by microscopy",tuberculosis ureter
319,bed sore,decubitus ulcer
320,hypersomnia due to organic factors,"sleep disorder due to general medical condition, hypersomnia type"
321,kanner's syndrome,autism spectrum disorder
322,kaschin-beck disease involving shoulder region,osteoarthritis
323,plasma gonadotrophin abnormal,blood gonadotrophin abnormal
324,syndrome inappropriate adh,inappropriate antidiuretic hormone secretion
325,gallbladder carcinoma,gallbladder cancer
326,electroretinogram abnormal,retinogram abnormal
327,oesophagalgia,oesophageal pain
328,mediastinal hematoma,mediastinal haematoma
329,arterial catheterization,arterial catheterisation
330,"polycystic kidney, unspecified type",congenital cystic kidney disease
331,total iron binding capacity decreased,iron binding capacity total decreased
332,common femoral vein thrombus extension,peripheral vein thrombus extension
333,spasm uterine cervix,uterine spasm
334,syndrome zollinger ellison,gastrinoma
335,abdominal aortic aneurysm enlargement,aortic aneurysm
336,pocket formation of decubitus,decubitus ulcer
337,dark accommodation disorder,delayed dark adaptation
338,reversed sleep rhythm,irregular sleep wake rhythm disorder
339,scalp rash,rash
340,cancer of head of pancreas recurrent,pancreatic carcinoma recurrent
341,iodism symptom,toxicity to various agents
342,ascending aortic rupture,aortic rupture
343,intraoperative renal injury,renal procedural complication
344,malignant neoplasm of laryngeal cartilages,laryngeal cancer
345,chest aching,chest pain
346,low tension glaucoma,normal tension glaucoma
347,oropharyngeal cancer stage unspecified,oropharyngeal cancer
348,"catatonic type schizophrenia, subchronic state with acute exacerbation",schizophrenia
349,dry cough,cough
350,ovariohysterectomy,hysterosalpingo-oophorectomy
351,breast burning,breast pain
352,urinary bladder hemorrhage,urinary bladder haemorrhage
353,imperforate esophagus,imperforate oesophagus
354,obstructive sleep apnea syndrome,sleep apnoea syndrome
355,unspecified noninfective disorder of lymphatic channels,lymphangiopathy
356,unspecified internal derangement of knee,joint dislocation
357,partial lung resection,pulmonary resection
358,exfoliation of skin,skin exfoliation
359,parasitic endophthalmitis nos,endophthalmitis
360,plasma calcium abnormal,blood calcium abnormal
361,subluxation jaw,joint dislocation
362,fragrance sensitivity,perfume sensitivity
363,hemoperitoneum,haemoperitoneum
364,hepatic infarct,hepatic infarction
365,neuro-optic myelitis,neuromyelitis optica spectrum disorder
366,urinary bladder bleeding,urinary bladder haemorrhage
367,cl- decreased,blood chloride decreased
368,ulcer of upper extremity,skin ulcer
369,heparin-induced thrombosis,heparin-induced thrombocytopenia
370,acute epididymo-orchitis,orchitis
371,chronic pulmonary heart disease unspecified,cor pulmonale chronic
372,sodium high,blood sodium increased
373,manufacturing laboratory analytical testing issue due to pandemic manpower disruption,manufacturing laboratory analytical testing issue
374,phantom pregnancy,somatic symptom disorder of pregnancy
375,"sternum sprain, unspecified part",ligament sprain
376,squamous cell carcinoma of the anus stage unspecified,anal squamous cell carcinoma
377,rectal abscess drainage,abscess drainage
378,procedure repeated,surgical procedure repeated
379,closed dislocation of tarsometatarsal (joint),joint dislocation
380,foetus or newborn affected by maternal complications of pregnancy,maternal condition affecting foetus
381,traumatic arthropathy involving hand,traumatic arthropathy
382,"goitre, specified as simple",goitre
383,pertussis identification test positive,bordetella test positive
384,barbiturate abuse,drug abuse
385,parasitic infestation of eyelid,eyelid infection
386,ureaplasma urethritis,urethritis ureaplasmal
387,serum calcium,blood calcium
388,gonococcal iridocyclitis,eye infection gonococcal
389,lower gi tract x-ray abnormal,x-ray gastrointestinal tract abnormal
390,convulsion (excl neonatal),seizure
391,color-coded duplex sonogram,ultrasound doppler
392,paraesthesia circumoral,paraesthesia oral
393,gastrointestinal submucosal tumor,gastrointestinal submucosal tumour
394,cerebral small vessel ischemic disease,cerebral small vessel ischaemic disease
395,"prolonged labor, unspecified type, antepartum",prolonged labour
396,folate low,blood folate decreased
397,"latent schizophrenia, unspecified state",schizotypal personality disorder
398,skin test nos negative,skin test negative
399,genital burning,genital burning sensation
400,"hypotension, unspecified",hypotension
401,rickettsia typhi infection,murine typhus
402,vitamin c abnormal nos,vitamin c abnormal
403,solar eczema,solar dermatitis
404,aldosterone decreased,blood aldosterone decreased
405,right-to-left atrial shunt,right-to-left cardiac shunt
406,adenoid cystic breast carcinoma,breast cancer
407,"fracture of anatomical neck of humerus, open",humerus fracture
408,hemifacial spasm,facial spasm
409,lymph gland biopsy normal,biopsy lymph gland normal
410,malignant neoplasm of urachus stage ii,bladder cancer stage ii
411,plasma growth hormone decreased,blood growth hormone decreased
412,aids-associated hemorrhagic sarcoma,kaposi's sarcoma aids related
413,thief,theft
414,protein-bound iodine serum decreased,protein bound iodine decreased
415,aryepiglottis edema,laryngeal oedema
416,ankylosis of teeth,tooth ankylosis
417,oedema aggravated,oedema
418,unhappiness,depressed mood
419,right ventricular insufficiency,right ventricular failure
420,postpartum thrombophlebitis,postpartum venous thrombosis
421,sexual assault,sexual abuse
422,thalassemia carrier,thalassaemia minor
423,"malignant neoplasm of kidney, excl pelvis, stage iv",renal cancer stage iv
424,imprisonment of mother,imprisonment of relative
425,left ventricular end-systolic dimension,ventricular internal diameter
426,anterior cruciate ligament reconstruction,ligament operation
427,out of specification test results content of uniformity,out of specification test results
428,developmental articulation disorder,speech sound disorder
429,cataract (left),cataract
430,anterior cyclitis,cyclitis
431,tourette's syndrome aggravated,tourette's disorder
432,watery diarrhea,diarrhoea
433,hepatoma resectable,hepatocellular carcinoma
434,"blepharophimosis, ptosis, and epicanthus inversus syndrome type ii",bpes syndrome
435,bronchitis hemophilus,bronchitis haemophilus
436,open wound of eyeball,open globe injury
437,hematological malignancy,haematological malignancy
438,venous lake,haemangioma of skin
439,malignant neoplasm of bladder neck stage iv,bladder cancer stage iv
440,toxic effect of isopropyl alcohol,alcohol poisoning
441,bronchial thermoplasty,bronchoplasty
442,injection site hyperaemia,injection site erythema
443,combined immunity deficiency,combined immunodeficiency
444,blood lactate dehydrogenase 5 increased,blood lactate dehydrogenase increased
445,keratitis striate,keratitis
446,epidural bleeding,epidural haemorrhage
447,patellofemoral dislocation,joint dislocation
448,blood alkaline phosphatase intestine,blood alkaline phosphatase
449,haemolytic type rash,purpura
450,pinched nerve,nerve compression
451,infected nail bed,nail bed infection
452,multiple myeloma without mention of remission,plasma cell myeloma
453,adjustment reaction with predominant disturbance of conduct,adjustment disorder with disturbance of conduct
454,haemolytic anaemia indirect coombs positive,coombs positive haemolytic anaemia
455,malignant salivary gland cancer stage ii,salivary gland cancer stage ii
456,myasthenia gravis aggravated,myasthenia gravis
457,incision site paresthesia,incision site paraesthesia
458,crushing injury of toe,limb crushing injury
459,nondependent abuse of drugs,drug abuse
460,radiation skin sensitivity,radiation skin injury
461,myalgia of lower extremities,myalgia
462,anus imperforate,anal atresia
463,rast,radioallergosorbent test
464,blood urate low,blood uric acid decreased
465,efflorescence,rash
466,neoplasm progression nos,neoplasm progression
467,male sex hormone binding globulin decreased,sex hormone binding globulin decreased
468,"unspecified antepartum haemorrhage, antepartum",haemorrhage in pregnancy
469,tracheobronchial fistula,tracheal fistula
470,orbit biopsy,biopsy bone
471,human parainfluenza virus 2 test positive,rubulavirus test positive
472,increased number of platelets,platelet count increased
473,anaerobic bacterial infection nos,bacterial infection
474,poisoning by agents primarily affecting the gastrointestinal system,toxicity to various agents
475,histoplasma capsulatum retinitis,retinitis histoplasma
476,"urothelial carcinoma bladder stage 0, with cancer in situ",bladder transitional cell carcinoma stage 0
477,porphyria hepatic,porphyria non-acute
478,myoma,leiomyoma
479,koilocytotic pap smear,cervical dysplasia
480,accident nos,accident
481,inguinal pain,groin pain
482,diffuse small cleaved cell lymphoma (adult t-cell lymphoma/leukemia) stage iii,adult t-cell lymphoma/leukaemia stage iii
483,injection site hydrarthrosis,injection site joint effusion
484,ectromelia four limbs,limb reduction defect
485,anthrax immunization,anthrax immunisation
486,intestinal infection due to enterohemorrhagic e. coli,gastroenteritis escherichia coli
487,rash bullous,dermatitis bullous
488,m-csf therapy,colony stimulating factor therapy
489,prosthesis deployment difficulty,device deployment issue
490,vegf assay,vascular endothelial growth factor assay
491,dengue fever from non-vaccinated serotype,dengue fever
492,expressive aphasia,aphasia
493,synovial disorder nos,synovial disorder
494,birth control pill,oral contraception
495,spasmus nutans,nystagmus
496,morsicatio buccarum,chronic cheek biting
497,iris nevus,eye naevus
498,central perforation of tympanic membrane,tympanic membrane perforation
499,blood alkaline phosphatase bone decreased,blood alkaline phosphatase decreased
500,tuberculosis of lung with cavitation,pulmonary tuberculosis
501,doose syndrome,epilepsy with myoclonic-atonic seizures
502,cysteine in urine,cysteine urine present
503,infectious diarrhea (presumed),diarrhoea infectious
504,lamellar laceration of the globe,closed globe injury
505,angiodysplasia of intestine with haemorrhage,gastrointestinal vascular malformation haemorrhagic
506,"injury to heart, without open wound into thorax",heart injury
507,loose body in forearm joint,loose body in joint
508,chemical burn of cornea,chemical burns of eye
509,dermatitis extrinsic,dermatitis contact
510,single photon emission computerised tomography normal,single photon emission computerised tomogram normal
511,vulvovaginal condyloma,vulvovaginal warts
512,acid phosphatase prostatic high,prostatic acid phosphatase increased
513,unspecified obstructed labour,obstructed labour
514,blood pressure dropped transient,blood pressure decreased
515,laryngotracheal biopsy normal,biopsy trachea normal
516,catheterisation arterial,arterial catheterisation
517,anti-hbc antibody positive,hepatitis b core antibody positive
518,"partial epilepsy, with impairment of consciousness",focal dyscognitive seizures
519,barrett's esophagitis,barrett's oesophagus
520,prepatellar bursitis,bursitis
521,coma hypoglycaemic,hypoglycaemic coma
522,vesicle,blister
523,hypersensitivity reaction (nos),hypersensitivity
524,gingival discoloration,gingival discolouration
525,follicular mixed small and large cell lymphoma,"follicle centre lymphoma, follicular grade i, ii, iii"
526,lead,blood lead
527,fractured femur (excl neck),femur fracture
528,fatty liver infiltration,hepatic steatosis
529,potato allergy,food allergy
530,pleural lavage,thoracic cavity lavage
531,intestinal infection due to aerobacter aerogenes,gastroenteritis aerobacter
532,hypersensitivity type i nos,type i hypersensitivity
533,large cell immunoblastic lymphoma (high grade b-cell burkitt-like lymphoma) stage iii,high grade b-cell lymphoma burkitt-like lymphoma stage iii
534,reactive arthritis,arthritis reactive
535,paranasal sinus hematoma,paranasal sinus haematoma
536,stomal ulcer,anastomotic ulcer
537,hormonal imbalance,hormone level abnormal
538,adh,blood antidiuretic hormone
539,irritable sensation transient,irritability
540,primary hypersomnia,hypersomnia
541,nuclear opacity increased,lenticular opacities
542,nasal septal biopsy abnormal,biopsy cartilage abnormal
543,retinal atheromatous plaque,arteriosclerotic retinopathy
544,unspecified chronic bronchitis,bronchitis chronic
545,diffuse large cell cleaved lymphoma (working formulation) stage iv,diffuse large b-cell lymphoma stage iv
546,haemoglobin a1c increased,glycosylated haemoglobin increased
547,proximal renal tubular dysfunction,renal tubular dysfunction
548,blood manganese normal,manganese normal
549,quadrantic hemianopsia,quadrantanopia
550,atherogenic dyslipidaemia,dyslipidaemia
551,stenosis of larynx,laryngeal stenosis
552,consciousness disturbed,altered state of consciousness
553,congenital lipodystrophy,congenital generalised lipodystrophy
554,brain edema,brain oedema
555,crescentic glomerulonephritis,glomerulonephritis rapidly progressive
556,extrapleural lung bilobectomy,lung lobectomy
557,carcinoma liver,hepatic cancer
558,micturition burning,dysuria
559,congenital macroglossia,macroglossia
560,medication in stool,product residue present
561,hemoglobin sc disease,double heterozygous sickling disorders
562,cholesterol gallstones,cholelithiasis
563,neurasthenia,asthenia
564,oesophageal squamous cell carcinoma upper third stage unspecified,oesophageal squamous cell carcinoma
565,benign reactive follicular hyperplasia,lymphoid tissue hyperplasia
566,x-ray of supraorbital area normal,face and mouth x-ray normal
567,polyphagia,hyperphagia
568,"fracture of cuneiform bone of foot, open",foot fracture
569,anaphylactic shock due to unspecified food,anaphylactic shock
570,malignant neoplasm of main bronchus,bronchial carcinoma
571,plasma pyruvic acid normal,blood pyruvic acid normal
572,parathyroid hormone increased,blood parathyroid hormone increased
573,developmental speech or language disorder,speech disorder developmental
574,esophageal varices in cirrhosis of liver,varices oesophageal
575,meibomitis,meibomianitis
576,burkitt's tumour or lymphoma stage ii,burkitt's lymphoma stage ii
577,"tuberculosis of eye, bacteriological or histological examination not done",tuberculosis of eye
578,t wave inversion of,electrocardiogram t wave inversion
579,prolactin normal,blood prolactin normal
580,device implant nos,medical device implantation
581,emphysematous gangrene,gas gangrene
582,sensory nerve stimulation tests,nerve stimulation test
583,"fracture of upper end of humerus, open",humerus fracture
584,painful defecation,dyschezia
585,infection tbc,tuberculosis
586,hyperchylomicronemia,hyperchylomicronaemia
587,total mesorectal excision,proctectomy
588,fingers webbed,syndactyly
589,atrophy pancreas,pancreatic atrophy
590,"tuberculosis of mastoid, bacteriological or histological examination not done",bone tuberculosis
591,pelvic bone pain,bone pain
592,abscess of prostate,prostatic abscess
593,"trachoma, active stage",trachoma
