text,ade,meddra,level
"rt @ellus_cooper: @uclaibd even w/ humira: ab pain, cramps,nausea,vomitting, skin&amp;joint problems, ulcers in mouth&amp;fatique #uclaibdnurses2013",vomitting,vomiting,PT
@wayne386 they probably would have offered me the full anti psychotic menu had i not reacted badly to seroquel #handy #bonus,reacted badly,feeling unwell,LLT
@c4dispatches i was prescribed victoza for obesity in july 2010. i have been ill ever since. evil drug #diabetes,ill,ill feeling,LLT
"rt @vyvanseswag: vyvanse, commonly known as ocd in a pill.",ocd,obsessive-compulsive disorder,PT
i'm having to pee way too much this drive.. drinking too much water. fuck you 70mg vyvanse and your ability to dehydrate the fuck out of me.,dehydrate,dehydration,PT
i'm having to pee way too much this drive.. drinking too much water. fuck you 70mg vyvanse and your ability to dehydrate the fuck out of me.,pee way too much,urination frequency of,LLT
this rant could be #paxil withdrawl...or delayed divorce rage.,rant,anger,PT
this rant could be #paxil withdrawl...or delayed divorce rage.,withdrawl,withdrawal syndrome,PT
"also, yay addiction. it's drugs i need for living, but it's still dependance. every time i get a ""paxil headache"" i realize this. oh well.",addiction,addiction,LLT
"also, yay addiction. it's drugs i need for living, but it's still dependance. every time i get a ""paxil headache"" i realize this. oh well.",dependance,drug dependence,PT
"also, yay addiction. it's drugs i need for living, but it's still dependance. every time i get a ""paxil headache"" i realize this. oh well.",headache,headache,PT
"gotta find an alternative to vyvanse, asap. i'd rather be sleepy &amp; happy, than alert &amp; depressed!",depressed,depression,PT
@almostwell yeh same bk felt like sumo wrestler on it all time :( think its f****ed me 4life :( ironic as humira is used to treat artheritis,felt like sumo wrestler,bloated feeling,LLT
okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oh well good times good vibes don't be sad,feel disgusting,nauseated,LLT
okay i took the seroquel and i am resisting the urge to vomit it up i feel disgusting but oh well good times good vibes don't be sad,urge to vomit,vomiting,PT
why not to take vyvanse late in the day: i just cleaned my entire kitchen. it's 3am. #addproblems @vyvanseswag,cleaned my entire kitchen,compulsions,PT
why not to take vyvanse late in the day: i just cleaned my entire kitchen. it's 3am. #addproblems @vyvanseswag,3am,insomnia,PT
@magnoliapearl missing a day of meds is never fun. i get migraines if i don't get my effexor. do you just get super tired?,migraines,migraine,PT
@magnoliapearl missing a day of meds is never fun. i get migraines if i don't get my effexor. do you just get super tired?,tired,tiredness,LLT
i'm high af on vyvanse.,high,feeling high,LLT
@doctorchristian @c4dispatch re victoza i was prescribed this in 2010 for obesity. caused pancreatitis and digestive problems ever since,digestive problems,gastrointestinal upset,LLT
@doctorchristian @c4dispatch re victoza i was prescribed this in 2010 for obesity. caused pancreatitis and digestive problems ever since,pancreatitis,pancreatitis,PT
@mtv when are you going to do true life: i am addicted to vyvanse?,addicted,addiction,LLT
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",headache,headache,PT
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",lower back pain,low back pain,LLT
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",neck ache,neck discomfort,LLT
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",shoulder,shoulder pain,LLT
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",weak knees,weakness,LLT
"09.26 day 12 rivaroxaban diary:  headache, right shoulder and neck ache, lower back pain, weak knees, limping when walking.taken paracetamol",limping,limping,LLT
get asked if i have tourettes. nope. just vyvanse #twitchy @vyvanseswag,tourettes,tourette's disorder,PT
get asked if i have tourettes. nope. just vyvanse #twitchy @vyvanseswag,twitchy,twitching,LLT
i don't know whether my vyvanse caused my caffeine addiction or caffeine caused my vyvanse addiction.,addiction,addiction,LLT
rt @vyvanseswag: i don't know whether my vyvanse caused my caffeine addiction or caffeine caused my vyvanse addiction.,addiction,addiction,LLT
my house smells of bacon &amp; seroquel is making me so hungry i want to tear my own face off &amp; eat it or cry or maybe both at once.,cry,crying,PT
my house smells of bacon &amp; seroquel is making me so hungry i want to tear my own face off &amp; eat it or cry or maybe both at once.,hungry,hunger,PT
my house smells of bacon &amp; seroquel is making me so hungry i want to tear my own face off &amp; eat it or cry or maybe both at once.,tear my own face off &amp; eat it,hunger abnormal,LLT
@sdunn242 yup quetiapine. the normal dose at night whacks me out. i'd have been asleep til friday on double,whacks me out,somnolence,PT
@sdunn242 yup quetiapine. the normal dose at night whacks me out. i'd have been asleep til friday on double,asleep,somnolence,PT
i'm not sure if excedrin is the right way for me to go for my tmj headaches. vyvanse + caffeine is pretty rough. ideas?,headaches,headache,PT
i'm not sure if excedrin is the right way for me to go for my tmj headaches. vyvanse + caffeine is pretty rough. ideas?,tmj,tmj syndrome,LLT
"13.08 day 13 rivaroxaban diary.  pracetamol has taken away most of the aches, but still have lower back ache and weak knees.",aches,ache,LLT
"13.08 day 13 rivaroxaban diary.  pracetamol has taken away most of the aches, but still have lower back ache and weak knees.",lower back ache,low back ache,LLT
"13.08 day 13 rivaroxaban diary.  pracetamol has taken away most of the aches, but still have lower back ache and weak knees.",weak knees,weakness,LLT
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,coming off,drug withdrawal syndrome,PT
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,flu symptoms,flu like symptoms,LLT
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,hangover,hangover effect,LLT
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,nausea,nausea,PT
cant cope coming off #venlafaxine feel like iv got a hangover mixed with flu symptoms. total nausea &amp; i cant keep still. please hurry &amp; pass,cant keep still,restlessness,PT
"@parthritis i don't know that one, but metho made me sick  everyday i took it. i had to stop. enbrel has worked wonders for me .. so far",sick ,feeling sick,LLT
@ajswurld i'm allergic to enbrel :-( bad reaction,allergic,allergic reaction,LLT
"rt @ajswurld: @parthritis i don't know that one, but metho made me sick  everyday i took it. i had to stop. enbrel has worked wonders for m?",sick,feeling sick,LLT
just wondering where the side effect of hating the world is stated on vyvanse advertisements?,hating the world,anger,PT
"this lamictal shit ain't cuttin the mustard; any ""mood stabilizers"" that don't steal your soul &amp; make u a bloated zombie a la britney?",bloated,bloated feeling,LLT
"this lamictal shit ain't cuttin the mustard; any ""mood stabilizers"" that don't steal your soul &amp; make u a bloated zombie a la britney?",steal your soul,feeling lifeless,LLT
"this lamictal shit ain't cuttin the mustard; any ""mood stabilizers"" that don't steal your soul &amp; make u a bloated zombie a la britney?",zombie,felt like a zombie,LLT
"@tweetnomdeplume ssris were great for me for ages, not working as well now. thus seroquel.  i?m also on clonazepam, makes me sleepy too.",not working as well,tachyphylaxis,PT
"@tweetnomdeplume ssris were great for me for ages, not working as well now. thus seroquel.  i?m also on clonazepam, makes me sleepy too.",sleepy,sleepiness,LLT
@sarahchoueiry cipro and flagyl are the absolute worst. like taking rat poison.,like taking rat poison,feeling unwell,LLT
"@fragileannie @meilufay i tried baclofen, another common muscle relaxer, and had too many side-effects from it, including worsening pain.",worsening pain,pain worsened,LLT
"@abianne the effexor may have been pushing me toward hypomania, so we are trying just an ssri, then see if a mood stabilizer is needed.",hypomania,hypomania,PT
seroquel left me with sleep paralysis. abilify left me with occasional muscle spasms. i've been off of both for nearly a decade.,muscle spasms,muscle spasm,LLT
seroquel left me with sleep paralysis. abilify left me with occasional muscle spasms. i've been off of both for nearly a decade.,sleep paralysis,sleep paralysis,PT
@ineedyouhere66 ugh the olanzapine makes me so tired :(,tired,tiredness,LLT
"@indiescent @serarrist when i weaned myself off paxil, slower than recommended, my blood pressure dropped so bad i couldn?t walk for a week.",blood pressure dropped,blood pressure dropped,LLT
"@indiescent @serarrist when i weaned myself off paxil, slower than recommended, my blood pressure dropped so bad i couldn?t walk for a week.",couldn?t walk,unable to walk,LLT
gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o,withdrawal,drug withdrawal syndrome,PT
gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o,libido,loss of libido,PT
gimme one reason why i shouldn't have sex drive / libido. i accept this as a part of withdrawal symptoms from venlafaxine. :o,sex drive,loss of libido,PT
i called for my effexor refill on wednesday. i was out. it's sunday and i can't stop screaming and crying,crying,crying,PT
i called for my effexor refill on wednesday. i was out. it's sunday and i can't stop screaming and crying,screaming,screaming,PT
"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro.",arms stil hurt,pain in arm,LLT
"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro.",tendons is like a razor to rope,tendon injury,PT
"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro.",weaker,weakness,LLT
"arms stil hurt. cipro to tendons is like a razor to rope: cut it partway through, makes it weaker &amp; won't heal ever. damned cipro.",won't heal,tendon disorder,PT
"eurgh! last time i was this tired, i was on a four day antidepressant cocktail binge.  #seroxat #sertraline #fluoxitine #lithium",tired,tiredness,LLT
rivaroxaban 2/2 lower back pain. not very pc but am crippled by this drug. taking more paracetamols. must ring for 'phone consultation.,lower back pain,low back pain,LLT
rivaroxaban 2/2 lower back pain. not very pc but am crippled by this drug. taking more paracetamols. must ring for 'phone consultation.,crippled,unable to walk,LLT
@electrosocket i was on enbrel for 8 years have since developed neuro problems (ataxia) wish id never taken it side effects not worth risks,ataxia,ataxia,PT
@electrosocket i was on enbrel for 8 years have since developed neuro problems (ataxia) wish id never taken it side effects not worth risks,neuro problems,neurological disorder nos,LLT
"@cutefont i essentially felt nothing on them. great for anxiety, bad for living. coming off klonopin and paxil was hell though.",coming off klonopin and paxil was hell,drug withdrawal syndrome,PT
"@cutefont i essentially felt nothing on them. great for anxiety, bad for living. coming off klonopin and paxil was hell though.",felt nothing,lack of feeling emotions,LLT
@lotsospermies well i?m taking it with a mood stabilizer (lamictal). i can?t take anti-depressants by themselves-triggers my rapid cycling,triggers my rapid cycling,mixed manic depressive episode,LLT
@gloombat i think it was an anxiety meds dream. damn quetiapine.,dream,bizarre dreams,LLT
@dougmoneybags quetiapine. very low dose even with increase. helps me get to sleep (&amp; eat in general) but feel really groggy in the morning,groggy in the morning,groggy on awakening,LLT
03.00 day 19 rivaroxaban diary. just taken 2 paracetamol. probabably will take 70 minutes to work. a long painful night ahead.,painful,pain,PT
your humira shot burns with the power of a thousand suns #ibdfmlmoments #crohns #ibd #uc,burns,injection site burning,LLT
"today is the day for my biweekly humira injection, any volunteers to take it for me?  it hurts.",hurts,injection site pain,PT
new dx: dysthymia. start seroquel (which i've had before. it zombified me iirc).,zombified,felt like a zombie,LLT
"@anyssiakaissa depakote made me feel flat, but helps many. zyprexa can cause weight gain, so be very careful. i can't tolerate it.",weight gain,weight gain,LLT
takin anbien &amp;seroquel for bad insomnia gives u messed up dreams doc saids its normal,messed up dreams,bizarre dreams,LLT
been on humira now short period 4 to 6 injections no noticeable change in pain but racing heart and palpitations. mtx at 1ml injection.,racing heart,heart rate increased,PT
been on humira now short period 4 to 6 injections no noticeable change in pain but racing heart and palpitations. mtx at 1ml injection.,palpitations,palpitations,PT
hey not sleeping. #hotflashes #menopause #effexor,not sleeping,sleeplessness,LLT
"@kniterrupted i think it?s an snri, i?m not even sure. it?s viibryd. but none of my anti-depressants have ever messed me up like this before",messed me up,feeling unwell,LLT
19.32 day 20 rivaroxaban diary. still residual aches and pains; only had 4 paracetamol today.,aches,ache,LLT
19.32 day 20 rivaroxaban diary. still residual aches and pains; only had 4 paracetamol today.,pains,pain,PT
i better go to bed.. effexor withdrawal makes me feel kinda terrible ugh.,feel kinda terrible,feeling unwell,LLT
i better go to bed.. effexor withdrawal makes me feel kinda terrible ugh.,withdrawal,withdrawal syndrome,PT
@missynomatter i was on quetiapine and gained 40lbs &lt;wall&gt; so i am not even trying olanzapine. they gave me abilify cause it not supposed to,gained 40lbs,weight gain,LLT
"@sewyoursoul i 'served' 6months of fluoxetine-time around 18 years ago, it put a smile on my face but inside i was still screaming. :(",inside i was still screaming,emotional instability,LLT
"@privacy625 @sandycolon25 what i take is serious. i never was informed ahead of time. i could get ""metabolic"" syndrome from seroquel.","metabolic"" syndrome",metabolic syndrome,PT
half of seroquel knocks me out so fast and im asleep for at least 10 hours...,knocks me out,somnolence,PT
08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,fluid retention,fluid retention,PT
08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,mobile,immobile,PT
08.55 day 21 rivaroxaban diary strange muscle spasms especially in neck shoulders and legs. no more fluid retention. more mobile.,muscle spasms,muscle spasm,LLT
#epilepsy is sucktastic. neuro appt monday to discuss a third med after getting the rash with lamotrigine and the glaucoma with topiramate.,rash,rash,PT
#epilepsy is sucktastic. neuro appt monday to discuss a third med after getting the rash with lamotrigine and the glaucoma with topiramate.,glaucoma,glaucoma,PT
@thestomabaglady i still get the pins &amp; needles feeling in my hands since doing humira,pins &amp; needles,pins and needles,LLT
"@realhausfrau @tantalizinyou my step-dad was on effexer,taking supplements for energy and drinking like a fish when he shot my daughter&amp;me",shot my daughter,homicidal attempt,LLT
this seroquel got me lo0o0py as helll.  this status took me at least thirty minutes to type i keep waking up without knowing i feel asleep,thirty minutes to type,confusion,LLT
this seroquel got me lo0o0py as helll.  this status took me at least thirty minutes to type i keep waking up without knowing i feel asleep,lo0o0py,fuzzy,LLT
this seroquel got me lo0o0py as helll.  this status took me at least thirty minutes to type i keep waking up without knowing i feel asleep,waking up without knowing i feel asleep,somnolence,PT
rivaroxaban diary day 22. am beginning to think all pains from pressure on that part of body are due to fluid retention.,fluid retention,fluid retention,PT
rivaroxaban diary day 22. am beginning to think all pains from pressure on that part of body are due to fluid retention.,pains,pain,PT
"@_katball natural don't work for me, try 300mg of seroquel...you'll sleep for days, i have insomnia that's what they give me lol",sleep for days,somnolence,PT
doc for panic disorders: alprazolam (addictive) and paroxetine (sedating). #psychiatry,addictive,addiction,LLT
doc for panic disorders: alprazolam (addictive) and paroxetine (sedating). #psychiatry,sedating,sedation,PT
@criminalbanjo dude i feel physically and mentally drained.. thats the paxil i wanted hard at work,physically,exhaustion,LLT
@criminalbanjo dude i feel physically and mentally drained.. thats the paxil i wanted hard at work,mentally drained,mental fatigue,PT
"04.46 day 23 rivaroxaban diary. much better than yesterday. still neck, back, hip, and leg aches but not so intense.","back, hip, and leg aches",back ache,LLT
"04.46 day 23 rivaroxaban diary. much better than yesterday. still neck, back, hip, and leg aches but not so intense.",leg aches,leg pain,LLT
"04.46 day 23 rivaroxaban diary. much better than yesterday. still neck, back, hip, and leg aches but not so intense.","neck, back, hip, and leg aches",neck pain,PT
"04.46 day 23 rivaroxaban diary. much better than yesterday. still neck, back, hip, and leg aches but not so intense.","hip, and leg aches",pain in hip,LLT
"@silkwould smh. lmao paxil was my first, i just stopped effexor (the headaches were a nightmare)",headaches ,headache,PT
the toilet just flushed itself.  my apartment is haunted.  paxil tells me it's common for apartments to be haunted.  send help,common for apartments to be haunted,irrational,LLT
"@wickleperson i do have a crisis number, but i'm just going to knock myself out today w/ trazodone and start antipsychotics today too.",antipsychotics,psychosis,LLT
wish it was monday...seeing doctor tomorrow &amp; want to see if he has any suggestions for my withdrawal. #paroxetine #anxiety #fedup,withdrawal,withdrawal syndrome,PT
15.15 rivaroxaban diary day 24.  pains easing all the time. didn't take losartan yesterday. will get bp and hopefully inr checked today.,pains,pain,PT
feels like one of those 5-cup #coffee days - but wait: i'm weaning off #seroquel. aha!,feels like one of those 5-cup #coffee days,excessive daytime sleepiness,LLT
"the most upsetting thing about silver linings playbook, is how bradley cooper can take seroquel and still stay in shape.",stay in shape,laziness,PT
then the viibryd it will be the hardest. makes you very ill. hospital ill.,ill,ill feeling,LLT
"effexor dreams, now with lucidity. i grant the power of flight?",lucidity,lucid dreams,LLT
@mcmorag my dreams became vivider i think with effexor #bpdchat,dreams became vivider,vivid dreams,LLT
bombed on olanzapine. work going to be tricky. 5 days of not drinking coming up. i could sleep all the time atm.,sleep all the time,somnolence,PT
bombed on olanzapine. work going to be tricky. 5 days of not drinking coming up. i could sleep all the time atm.,bombed,feeling stoned,LLT
@dsymons @trainingwithra i agree that the after sting is much worse from #humira than #enbrel #rheum,after sting,injection site stinging,LLT
@cheer_bear13 @lithiumlibgirl i couldn't take lamictal 1 week into it i got the rash.a rush trip to the er.6 months till rash was gone.,rash,rash,PT
